"L0","x","y","H0"
2,0,0,1.27863955497742
1,0,0,1.23428702354431
1,1,0,0.41890287399292
1,0,1,1.16475296020508
1,1,1,1.11236476898193
0.5,0,0,1.18960928916931
0.5,0.5,0,0.322839260101318
0.5,1,0,0.183425903320312
0.5,1.5,0,0.41890287399292
0.5,0,0.5,1.17725586891174
0.5,0.5,0.5,1.20713353157043
0.5,1,0.5,0.310275554656982
0.5,1.5,0.5,0.304822444915771
0.5,0,1,0.722847461700439
0.5,0.5,1,0.412942409515381
0.5,1,1,0.375022411346436
0.5,1.5,1,0.148639678955078
0.5,0,1.5,0.212216854095459
0.5,0.5,1.5,1.1297025680542
0.5,1,1.5,0.949676513671875
0.5,1.5,1.5,0.24435567855835
0.25,0,0,0.934841156005859
0.25,0.25,0,0.128767490386963
0.25,0.5,0,0.290663242340088
0.25,0.75,0,0.319041728973389
0.25,1,0,0.146988391876221
0.25,1.25,0,0.0746121406555176
0.25,1.5,0,0.125513553619385
0.25,1.75,0,0.36136531829834
0.25,0,0.25,1.18960928916931
0.25,0.25,0.25,0.1331467628479
0.25,0.5,0.25,0.298263072967529
0.25,0.75,0.25,0.30295991897583
0.25,1,0.25,0.1376953125
0.25,1.25,0.25,0.138889312744141
0.25,1.5,0.25,0.259590625762939
0.25,1.75,0.25,0.390859603881836
0.25,0,0.5,1.12799763679504
0.25,0.25,0.5,1.17725586891174
0.25,0.5,0.5,0.228099346160889
0.25,0.75,0.5,0.235479354858398
0.25,1,0.5,0.134804248809814
0.25,1.25,0.5,0.221694946289062
0.25,1.5,0.5,0.181372165679932
0.25,1.75,0.5,0.226870536804199
0.25,0,0.75,0.934555530548096
0.25,0.25,0.75,1.12845349311829
0.25,0.5,0.75,1.15914845466614
0.25,0.75,0.75,0.117884635925293
0.25,1,0.75,0.180807590484619
0.25,1.25,0.75,0.309890747070312
0.25,1.5,0.75,0.106189727783203
0.25,1.75,0.75,0.300363063812256
0.25,0,1,0.530962705612183
0.25,0.25,1,0.681918144226074
0.25,0.5,1,0.20995569229126
0.25,0.75,1,0.264094352722168
0.25,1,1,0.290708065032959
0.25,1.25,1,0.321138381958008
0.25,1.5,1,0.112874984741211
0.25,1.75,1,0.127598285675049
0.25,0,1.25,0.132261276245117
0.25,0.25,1.25,0.262932300567627
0.25,0.5,1.25,0.396520137786865
0.25,0.75,1.25,0.179824352264404
0.25,1,1.25,0.11949634552002
0.25,1.25,1.25,0.125182628631592
0.25,1.5,1.25,0.118599891662598
0.25,1.75,1.25,0.135080814361572
0.25,0,1.5,0.115401744842529
0.25,0.25,1.5,0.201581954956055
0.25,0.5,1.5,0.242956638336182
0.25,0.75,1.5,0.391460418701172
0.25,1,1.5,0.148420333862305
0.25,1.25,1.5,0.184133529663086
0.25,1.5,1.5,0.126547336578369
0.25,1.75,1.5,0.0784440040588379
0.25,0,1.75,0.0337648391723633
0.25,0.25,1.75,0.116373062133789
0.25,0.5,1.75,0.146610260009766
0.25,0.75,1.75,1.10908555984497
0.25,1,1.75,0.949676513671875
0.25,1.25,1.75,0.145293712615967
0.25,1.5,1.75,0.243273258209229
0.25,1.75,1.75,0.174503326416016
0.125,0,0,0.0332822799682617
0.125,0.125,0,0.0833992958068848
0.125,0.25,0,0.111402034759521
0.125,0.375,0,0.126773357391357
0.125,0.5,0,0.0821781158447266
0.125,0.625,0,0.258130073547363
0.125,0.75,0,0.0866751670837402
0.125,0.875,0,0.11548900604248
0.125,1,0,0.0811238288879395
0.125,1.125,0,0.0441465377807617
0.125,1.25,0,0.0470089912414551
0.125,1.375,0,0.0596013069152832
0.125,1.5,0,0.0904135704040527
0.125,1.625,0,0.041229248046875
0.125,1.75,0,0.286825656890869
0.125,1.875,0,0.155910491943359
0.125,0,0.125,0.863877773284912
0.125,0.125,0.125,0.0990514755249023
0.125,0.25,0.125,0.0688161849975586
0.125,0.375,0.125,0.0783438682556152
0.125,0.5,0.125,0.042027473449707
0.125,0.625,0.125,0.228870391845703
0.125,0.75,0.125,0.279674053192139
0.125,0.875,0.125,0.101052284240723
0.125,1,0.125,0.117608070373535
0.125,1.125,0.125,0.037714958190918
0.125,1.25,0.125,0.0624051094055176
0.125,1.375,0.125,0.0457510948181152
0.125,1.5,0.125,0.0804548263549805
0.125,1.625,0.125,0.0690455436706543
0.125,1.75,0.125,0.36136531829834
0.125,1.875,0.125,0.0647053718566895
0.125,0,0.25,0.906094551086426
0.125,0.125,0.25,1.15997338294983
0.125,0.25,0.25,0.0854678153991699
0.125,0.375,0.25,0.0889706611633301
0.125,0.5,0.25,0.0919384956359863
0.125,0.625,0.25,0.113380908966064
0.125,0.75,0.25,0.191473960876465
0.125,0.875,0.25,0.0355095863342285
0.125,1,0.25,0.116636276245117
0.125,1.125,0.25,0.0739083290100098
0.125,1.25,0.25,0.100357532501221
0.125,1.375,0.25,0.0235538482666016
0.125,1.5,0.25,0.0746440887451172
0.125,1.625,0.25,0.236690044403076
0.125,1.75,0.25,0.317898273468018
0.125,1.875,0.25,0.101098537445068
0.125,0,0.375,1.12461996078491
0.125,0.125,0.375,1.17499852180481
0.125,0.25,0.375,0.123703956604004
0.125,0.375,0.375,0.0925898551940918
0.125,0.5,0.375,0.0465340614318848
0.125,0.625,0.375,0.252992153167725
0.125,0.75,0.375,0.236423969268799
0.125,0.875,0.375,0.0957365036010742
0.125,1,0.375,0.121309757232666
0.125,1.125,0.375,0.117419242858887
0.125,1.25,0.375,0.13008975982666
0.125,1.375,0.375,0.0537676811218262
0.125,1.5,0.375,0.246992111206055
0.125,1.625,0.375,0.235751152038574
0.125,1.75,0.375,0.263216495513916
0.125,1.875,0.375,0.107598781585693
0.125,0,0.5,1.08862590789795
0.125,0.125,0.5,1.12671184539795
0.125,0.25,0.5,1.06040072441101
0.125,0.375,0.5,0.211982250213623
0.125,0.5,0.5,0.218858242034912
0.125,0.625,0.5,0.214923858642578
0.125,0.75,0.5,0.235479354858398
0.125,0.875,0.5,0.106626033782959
0.125,1,0.5,0.10996150970459
0.125,1.125,0.5,0.0473642349243164
0.125,1.25,0.5,0.0802559852600098
0.125,1.375,0.5,0.182000160217285
0.125,1.5,0.5,0.17274808883667
0.125,1.625,0.5,0.1748948097229
0.125,1.75,0.5,0.128611087799072
0.125,1.875,0.5,0.0239839553833008
0.125,0,0.625,0.96981406211853
0.125,0.125,0.625,1.06946921348572
0.125,0.25,0.625,1.10226845741272
0.125,0.375,0.625,1.1399359703064
0.125,0.5,0.625,0.0822434425354004
0.125,0.625,0.625,0.186209201812744
0.125,0.75,0.625,0.0392012596130371
0.125,0.875,0.625,0.0773072242736816
0.125,1,0.625,0.0765666961669922
0.125,1.125,0.625,0.134804248809814
0.125,1.25,0.625,0.138876914978027
0.125,1.375,0.625,0.202582359313965
0.125,1.5,0.625,0.0598883628845215
0.125,1.625,0.625,0.0382523536682129
0.125,1.75,0.625,0.048820972442627
0.125,1.875,0.625,0.225749015808105
0.125,0,0.75,0.934555530548096
0.125,0.125,0.75,0.917000532150269
0.125,0.25,0.75,0.988657236099243
0.125,0.375,0.75,1.12845349311829
0.125,0.5,0.75,1.15914845466614
0.125,0.625,0.75,0.122483253479004
0.125,0.75,0.75,0.0284781455993652
0.125,0.875,0.75,0.033627986907959
0.125,1,0.75,0.027411937713623
0.125,1.125,0.75,0.066718578338623
0.125,1.25,0.75,0.138553142547607
0.125,1.375,0.75,0.104503154754639
0.125,1.5,0.75,0.0762414932250977
0.125,1.625,0.75,0.0670733451843262
0.125,1.75,0.75,0.0301246643066406
0.125,1.875,0.75,0.237515449523926
0.125,0,0.875,0.861835956573486
0.125,0.125,0.875,0.849886894226074
0.125,0.25,0.875,0.933029174804688
0.125,0.375,0.875,0.956677436828613
0.125,0.5,0.875,0.143179893493652
0.125,0.625,0.875,0.128932476043701
0.125,0.75,0.875,0.117884635925293
0.125,0.875,0.875,0.0258846282958984
0.125,1,0.875,0.0111050605773926
0.125,1.125,0.875,0.176097393035889
0.125,1.25,0.875,0.169597148895264
0.125,1.375,0.875,0.151931285858154
0.125,1.5,0.875,0.0605978965759277
0.125,1.625,0.875,0.0757350921630859
0.125,1.75,0.875,0.0637407302856445
0.125,1.875,0.875,0.0697021484375
0.125,0,1,0.0303821563720703
0.125,0.125,1,0.525831460952759
0.125,0.25,1,0.569918155670166
0.125,0.375,1,0.126814365386963
0.125,0.5,1,0.201217651367188
0.125,0.625,1,0.134718894958496
0.125,0.75,1,0.117530345916748
0.125,0.875,1,0.159848213195801
0.125,1,1,0.180114269256592
0.125,1.125,1,0.244621753692627
0.125,1.25,1,0.25390100479126
0.125,1.375,1,0.150226593017578
0.125,1.5,1,0.0547800064086914
0.125,1.625,1,0.0908584594726562
0.125,1.75,1,0.0634903907775879
0.125,1.875,1,0.0638723373413086
0.125,0,1.125,0.0354123115539551
0.125,0.125,1.125,0.0215773582458496
0.125,0.25,1.125,0.0907292366027832
0.125,0.375,1.125,0.147566318511963
0.125,0.5,1.125,0.0764813423156738
0.125,0.625,1.125,0.205425262451172
0.125,0.75,1.125,0.264088153839111
0.125,0.875,1.125,0.249976634979248
0.125,1,1.125,0.263315200805664
0.125,1.125,1.125,0.259079933166504
0.125,1.25,1.125,0.0947976112365723
0.125,1.375,1.125,0.0559444427490234
0.125,1.5,1.125,0.0438475608825684
0.125,1.625,1.125,0.112874984741211
0.125,1.75,1.125,0.0605568885803223
0.125,1.875,1.125,0.067441463470459
0.125,0,1.25,0.117655754089355
0.125,0.125,1.25,0.0421266555786133
0.125,0.25,1.25,0.193306922912598
0.125,0.375,1.25,0.0861530303955078
0.125,0.5,1.25,0.265013217926025
0.125,0.625,1.25,0.353672981262207
0.125,0.75,1.25,0.150890827178955
0.125,0.875,1.25,0.0488119125366211
0.125,1,1.25,0.11081075668335
0.125,1.125,1.25,0.0669288635253906
0.125,1.25,1.25,0.106790065765381
0.125,1.375,1.25,0.0388708114624023
0.125,1.5,1.25,0.0563597679138184
0.125,1.625,1.25,0.064359188079834
0.125,1.75,1.25,0.0881204605102539
0.125,1.875,1.25,0.120800971984863
0.125,0,1.375,0.06756591796875
0.125,0.125,1.375,0.120188236236572
0.125,0.25,1.375,0.18563985824585
0.125,0.375,1.375,0.249696731567383
0.125,0.5,1.375,0.081416130065918
0.125,0.625,1.375,0.158674716949463
0.125,0.75,1.375,0.122835636138916
0.125,0.875,1.375,0.134177684783936
0.125,1,1.375,0.0549812316894531
0.125,1.125,1.375,0.0442290306091309
0.125,1.25,1.375,0.102587223052979
0.125,1.375,1.375,0.0342097282409668
0.125,1.5,1.375,0.0450549125671387
0.125,1.625,1.375,0.0728111267089844
0.125,1.75,1.375,0.0512819290161133
0.125,1.875,1.375,0.0763974189758301
0.125,0,1.5,0.0851106643676758
0.125,0.125,1.5,0.0987639427185059
0.125,0.25,1.5,0.169005870819092
0.125,0.375,1.5,0.0448784828186035
0.125,0.5,1.5,0.105490207672119
0.125,0.625,1.5,0.239056587219238
0.125,0.75,1.5,0.0231375694274902
0.125,0.875,1.5,0.184120178222656
0.125,1,1.5,0.0802631378173828
0.125,1.125,1.5,0.062415599822998
0.125,1.25,1.5,0.111472129821777
0.125,1.375,1.5,0.0592708587646484
0.125,1.5,1.5,0.041348934173584
0.125,1.625,1.5,0.034759521484375
0.125,1.75,1.5,0.0598068237304688
0.125,1.875,1.5,0.0528712272644043
0.125,0,1.625,0.0561070442199707
0.125,0.125,1.625,0.036834716796875
0.125,0.25,1.625,0.136312007904053
0.125,0.375,1.625,0.0881567001342773
0.125,0.5,1.625,0.0655603408813477
0.125,0.625,1.625,0.242956638336182
0.125,0.75,1.625,0.361884117126465
0.125,0.875,1.625,0.384819507598877
0.125,1,1.625,0.117759227752686
0.125,1.125,1.625,0.0647144317626953
0.125,1.25,1.625,0.0741691589355469
0.125,1.375,1.625,0.103700160980225
0.125,1.5,1.625,0.0832457542419434
0.125,1.625,1.625,0.0785365104675293
0.125,1.75,1.625,0.0547351837158203
0.125,1.875,1.625,0.0423169136047363
0.125,0,1.75,0.022160530090332
0.125,0.125,1.75,0.0159764289855957
0.125,0.25,1.75,0.075035572052002
0.125,0.375,1.75,0.0630025863647461
0.125,0.5,1.75,0.0884518623352051
0.125,0.625,1.75,0.109291076660156
0.125,0.75,1.75,0.139771461486816
0.125,0.875,1.75,1.00219202041626
0.125,1,1.75,0.949676513671875
0.125,1.125,1.75,0.0980105400085449
0.125,1.25,1.75,0.073829174041748
0.125,1.375,1.75,0.129218101501465
0.125,1.5,1.75,0.0659303665161133
0.125,1.625,1.75,0.223296642303467
0.125,1.75,1.75,0.134939193725586
0.125,1.875,1.75,0.102610111236572
0.125,0,1.875,0.023221492767334
0.125,0.125,1.875,0.011998176574707
0.125,0.25,1.875,0.031343936920166
0.125,0.375,1.875,0.0851936340332031
0.125,0.5,1.875,0.101566314697266
0.125,0.625,1.875,0.145264148712158
0.125,0.75,1.875,1.03492546081543
0.125,0.875,1.875,1.01138377189636
0.125,1,1.875,0.886214971542358
0.125,1.125,1.875,0.102213382720947
0.125,1.25,1.875,0.089320182800293
0.125,1.375,1.875,0.0950007438659668
0.125,1.5,1.875,0.0787339210510254
0.125,1.625,1.875,0.206786632537842
0.125,1.75,1.875,0.0698623657226562
0.125,1.875,1.875,0.0398960113525391
0.0625,0,0,0.0191917419433594
0.0625,0.0625,0,0.0126357078552246
0.0625,0.125,0,0.0167770385742188
0.0625,0.1875,0,0.0115175247192383
0.0625,0.25,0,0.0483207702636719
0.0625,0.3125,0,0.0605049133300781
0.0625,0.375,0,0.0992884635925293
0.0625,0.4375,0,0.0854711532592773
0.0625,0.5,0,0.060938835144043
0.0625,0.5625,0,0.0553689002990723
0.0625,0.625,0,0.176304817199707
0.0625,0.6875,0,0.0582795143127441
0.0625,0.75,0,0.0344529151916504
0.0625,0.8125,0,0.028620719909668
0.0625,0.875,0,0.0804562568664551
0.0625,0.9375,0,0.0912699699401855
0.0625,1,0,0.0611252784729004
0.0625,1.0625,0,0.0291295051574707
0.0625,1.125,0,0.0387072563171387
0.0625,1.1875,0,0.0276575088500977
0.0625,1.25,0,0.025825023651123
0.0625,1.3125,0,0.027956485748291
0.0625,1.375,0,0.0398225784301758
0.0625,1.4375,0,0.0257349014282227
0.0625,1.5,0,0.0554113388061523
0.0625,1.5625,0,0.0149030685424805
0.0625,1.625,0,0.012171745300293
0.0625,1.6875,0,0.0159783363342285
0.0625,1.75,0,0.272202968597412
0.0625,1.8125,0,0.037999153137207
0.0625,1.875,0,0.0376672744750977
0.0625,1.9375,0,0.0726041793823242
0.0625,0,0.0625,0.0179004669189453
0.0625,0.0625,0.0625,0.0220851898193359
0.0625,0.125,0.0625,0.0143532752990723
0.0625,0.1875,0.0625,0.0783915519714355
0.0625,0.25,0.0625,0.0578832626342773
0.0625,0.3125,0.0625,0.0635571479797363
0.0625,0.375,0.0625,0.0604081153869629
0.0625,0.4375,0.0625,0.0380764007568359
0.0625,0.5,0.0625,0.0653867721557617
0.0625,0.5625,0.0625,0.0295300483703613
0.0625,0.625,0.0625,0.186954498291016
0.0625,0.6875,0.0625,0.13676643371582
0.0625,0.75,0.0625,0.0547380447387695
0.0625,0.8125,0.0625,0.0600786209106445
0.0625,0.875,0.0625,0.0761604309082031
0.0625,0.9375,0.0625,0.0257101058959961
0.0625,1,0.0625,0.056004524230957
0.0625,1.0625,0.0625,0.0365242958068848
0.0625,1.125,0.0625,0.0441303253173828
0.0625,1.1875,0.0625,0.00958061218261719
0.0625,1.25,0.0625,0.0189175605773926
0.0625,1.3125,0.0625,0.0184755325317383
0.0625,1.375,0.0625,0.0320315361022949
0.0625,1.4375,0.0625,0.051447868347168
0.0625,1.5,0.0625,0.0570468902587891
0.0625,1.5625,0.0625,0.0324764251708984
0.0625,1.625,0.0625,0.0258221626281738
0.0625,1.6875,0.0625,0.0114154815673828
0.0625,1.75,0.0625,0.192269325256348
0.0625,1.8125,0.0625,0.104592323303223
0.0625,1.875,0.0625,0.115233898162842
0.0625,1.9375,0.0625,0.125056266784668
0.0625,0,0.125,0.840060710906982
0.0625,0.0625,0.125,0.0215792655944824
0.0625,0.125,0.125,0.0543241500854492
0.0625,0.1875,0.125,0.0645127296447754
0.0625,0.25,0.125,0.0197396278381348
0.0625,0.3125,0.125,0.0357747077941895
0.0625,0.375,0.125,0.0343031883239746
0.0625,0.4375,0.125,0.0574016571044922
0.0625,0.5,0.125,0.0316257476806641
0.0625,0.5625,0.125,0.0276660919189453
0.0625,0.625,0.125,0.0754923820495605
0.0625,0.6875,0.125,0.123855590820312
0.0625,0.75,0.125,0.11361837387085
0.0625,0.8125,0.125,0.0616416931152344
0.0625,0.875,0.125,0.0633687973022461
0.0625,0.9375,0.125,0.0306382179260254
0.0625,1,0.125,0.046933650970459
0.0625,1.0625,0.125,0.061375617980957
0.0625,1.125,0.125,0.0271005630493164
0.0625,1.1875,0.125,0.0167727470397949
0.0625,1.25,0.125,0.0220584869384766
0.0625,1.3125,0.125,0.0321102142333984
0.0625,1.375,0.125,0.0180482864379883
0.0625,1.4375,0.125,0.0251131057739258
0.0625,1.5,0.125,0.047553539276123
0.0625,1.5625,0.125,0.0274801254272461
0.0625,1.625,0.125,0.041388988494873
0.0625,1.6875,0.125,0.0344457626342773
0.0625,1.75,0.125,0.023716926574707
0.0625,1.8125,0.125,0.329784870147705
0.0625,1.875,0.125,0.0590415000915527
0.0625,1.9375,0.125,0.0163440704345703
