"rec","rep","D","D_ends","D_theory","R","R_theory","H","site"
"rr201611_004_Osprey_dem_low",1,2.36644590943331,2.35821044525508,2.35821044525508,1.40486723483791,1.10149433710976,0.377458810806274,"Osprey"
"rr201611_004_Osprey_dem_low",2,2.31743784348741,2.30936792682228,2.30936792682228,1.62756613326087,1.17187511868545,0.591457843780518,"Osprey"
"rr201611_004_Osprey_dem_low",3,2.4219598957119,2.4088949709352,2.4088949709352,1.65951664536403,1.19821907301918,0.452589988708496,"Osprey"
"rr201611_004_Osprey_dem_low",4,2.34530887188457,2.3252781627879,2.3252781627879,1.44916868385885,1.12922092656054,0.480539798736572,"Osprey"
"rr201611_004_Osprey_dem_low",5,2.31546687857312,2.28354072694723,2.28354072694723,1.41046033492877,1.09904581951155,0.482728242874146,"Osprey"
"rr201611_004_Osprey_dem_low",6,2.42789730733993,2.43796102315068,2.43796102315068,1.48215985795657,1.12694435647272,0.322131156921387,"Osprey"
"rr201611_004_Osprey_dem_low",7,2.33001555205313,2.29812319989411,2.29812319989411,1.70701313990467,1.18075966878706,0.631945371627808,"Osprey"
"rr201611_004_Osprey_dem_low",8,2.35556827246101,2.34756994110113,2.34756994110113,1.44438373925696,1.1330880695453,0.451828956604004,"Osprey"
"rr201611_004_Osprey_dem_low",9,2.38420972439675,2.37010828686272,2.37010828686272,1.38907568788594,1.11110627338519,0.379840135574341,"Osprey"
"rr201611_004_Osprey_dem_low",10,2.46299912530977,2.46025600255259,2.46025600255259,1.37807954855777,1.11608146288796,0.284405708312988,"Osprey"
"rr201611_004_Osprey_dem_low",11,2.43551146799315,2.42507820271365,2.42507820271365,1.45009360831899,1.13393180117046,0.346553802490234,"Osprey"
"rr201611_004_Osprey_dem_low",12,2.3576906032055,2.34246231039801,2.34246231039801,1.66568199077203,1.19339777691297,0.562175989151001,"Osprey"
"rr201611_004_Osprey_dem_low",13,2.3954082389651,2.38134420461576,2.38134420461576,1.46469711311874,1.13419062028401,0.403684854507446,"Osprey"
"rr201611_004_Osprey_dem_low",14,2.24929042317055,2.24879734964365,2.24879734964365,1.63747336164615,1.15664580445352,0.694091081619263,"Osprey"
"rr201611_004_Osprey_dem_low",15,2.29436592192898,2.28690861371667,2.28690861371667,1.97300603061696,1.20652383098023,0.7063889503479,"Osprey"
"rr201611_004_Osprey_dem_low",16,2.41209095834599,2.38269876723315,2.38269876723315,1.58062161175963,1.17613594659006,0.464828729629517,"Osprey"
"rr201611_007_CooksPath_dem_low",1,2.35992735961965,2.37272043887285,2.37272043887285,1.33380290670704,1.09541341538226,0.34752368927002,"Cooks Path"
"rr201611_007_CooksPath_dem_low",2,2.38484602127131,2.37249830106226,2.37249830106226,1.47531889873427,1.14009462391373,0.425898790359497,"Cooks Path"
"rr201611_007_CooksPath_dem_low",3,2.37961984184196,2.38112118412941,2.38112118412941,1.43021147629942,1.12405355640834,0.387514352798462,"Cooks Path"
"rr201611_007_CooksPath_dem_low",4,2.37064731264705,2.37663666330491,2.37663666330491,1.487060627305,1.1395931804415,0.41903281211853,"Cooks Path"
"rr201611_007_CooksPath_dem_low",5,2.40382594863358,2.40962948561715,2.40962948561715,1.33302087388331,1.09525362283631,0.305527448654175,"Cooks Path"
