"L0","x","y","H0"
2,0,0,0.379840135574341
1,0,0,0.233438968658447
1,1,0,0.224097728729248
1,0,1,0.207521915435791
1,1,1,0.302328109741211
0.5,0,0,0.189354658126831
0.5,0.5,0,0.147956371307373
0.5,1,0,0.128119230270386
0.5,1.5,0,0.177523851394653
0.5,0,0.5,0.140645027160645
0.5,0.5,0.5,0.180718421936035
0.5,1,0.5,0.18491792678833
0.5,1.5,0.5,0.0987644195556641
0.5,0,1,0.142910957336426
0.5,0.5,1,0.168215274810791
0.5,1,1,0.185001134872437
0.5,1.5,1,0.205522298812866
0.5,0,1.5,0.169964790344238
0.5,0.5,1.5,0.133087158203125
0.5,1,1.5,0.252679347991943
0.5,1.5,1.5,0.266325712203979
0.25,0,0,0.183196306228638
0.25,0.25,0,0.121847867965698
0.25,0.5,0,0.136011362075806
0.25,0.75,0,0.107389688491821
0.25,1,0,0.0740368366241455
0.25,1.25,0,0.0599250793457031
0.25,1.5,0,0.120198011398315
0.25,1.75,0,0.0702645778656006
0.25,0,0.25,0.0945253372192383
0.25,0.25,0.25,0.102850914001465
0.25,0.5,0.25,0.100154638290405
0.25,0.75,0.25,0.131685018539429
0.25,1,0.25,0.0854167938232422
0.25,1.25,0.25,0.109456300735474
0.25,1.5,0.25,0.156509399414062
0.25,1.75,0.25,0.0714538097381592
0.25,0,0.5,0.0790808200836182
0.25,0.25,0.5,0.0985300540924072
0.25,0.5,0.5,0.122211217880249
0.25,0.75,0.5,0.0955228805541992
0.25,1,0.5,0.18491792678833
0.25,1.25,0.5,0.0847289562225342
0.25,1.5,0.5,0.0987644195556641
0.25,1.75,0.5,0.087590217590332
0.25,0,0.75,0.0834743976593018
0.25,0.25,0.75,0.112017869949341
0.25,0.5,0.75,0.15961766242981
0.25,0.75,0.75,0.108576774597168
0.25,1,0.75,0.164482116699219
0.25,1.25,0.75,0.0835998058319092
0.25,1.5,0.75,0.0834076404571533
0.25,1.75,0.75,0.0638396739959717
0.25,0,1,0.101068019866943
0.25,0.25,1,0.142910957336426
0.25,0.5,1,0.153899669647217
0.25,0.75,1,0.115745306015015
0.25,1,1,0.0640327930450439
0.25,1.25,1,0.182933807373047
0.25,1.5,1,0.190075635910034
0.25,1.75,1,0.140057802200317
0.25,0,1.25,0.0723681449890137
0.25,0.25,1.25,0.109397411346436
0.25,0.5,1.25,0.0747427940368652
0.25,0.75,1.25,0.0843658447265625
0.25,1,1.25,0.108548402786255
0.25,1.25,1.25,0.163904190063477
0.25,1.5,1.25,0.164883375167847
0.25,1.75,1.25,0.16105318069458
0.25,0,1.5,0.118875741958618
0.25,0.25,1.5,0.154176473617554
0.25,0.5,1.5,0.124474048614502
0.25,0.75,1.5,0.113098621368408
0.25,1,1.5,0.0914900302886963
0.25,1.25,1.5,0.252679347991943
0.25,1.5,1.5,0.266325712203979
0.25,1.75,1.5,0.134953737258911
0.25,0,1.75,0.142276287078857
0.25,0.25,1.75,0.0700035095214844
0.25,0.5,1.75,0.103418111801147
0.25,0.75,1.75,0.0985596179962158
0.25,1,1.75,0.0893247127532959
0.25,1.25,1.75,0.0942606925964355
0.25,1.5,1.75,0.082831859588623
0.25,1.75,1.75,0.0596339702606201
0.125,0,0,0.117221832275391
0.125,0.125,0,0.178664922714233
0.125,0.25,0,0.0837140083312988
0.125,0.375,0,0.0505075454711914
0.125,0.5,0,0.0878136157989502
0.125,0.625,0,0.131208419799805
0.125,0.75,0,0.101830005645752
0.125,0.875,0,0.048668384552002
0.125,1,0,0.0688183307647705
0.125,1.125,0,0.0363800525665283
0.125,1.25,0,0.057441234588623
0.125,1.375,0,0.0455124378204346
0.125,1.5,0,0.0482091903686523
0.125,1.625,0,0.0492615699768066
0.125,1.75,0,0.0655481815338135
0.125,1.875,0,0.0702645778656006
0.125,0,0.125,0.119478702545166
0.125,0.125,0.125,0.0934810638427734
0.125,0.25,0.125,0.10027551651001
0.125,0.375,0.125,0.0492556095123291
0.125,0.5,0.125,0.0824975967407227
0.125,0.625,0.125,0.0787167549133301
0.125,0.75,0.125,0.032254695892334
0.125,0.875,0.125,0.0374209880828857
0.125,1,0.125,0.0521314144134521
0.125,1.125,0.125,0.040278434753418
0.125,1.25,0.125,0.0395152568817139
0.125,1.375,0.125,0.0320413112640381
0.125,1.5,0.125,0.105134725570679
0.125,1.625,0.125,0.0733392238616943
0.125,1.75,0.125,0.0573008060455322
0.125,1.875,0.125,0.0553493499755859
0.125,0,0.25,0.0552845001220703
0.125,0.125,0.25,0.0770766735076904
0.125,0.25,0.25,0.102850914001465
0.125,0.375,0.25,0.0547192096710205
0.125,0.5,0.25,0.0798294544219971
0.125,0.625,0.25,0.0622794628143311
0.125,0.75,0.25,0.0476546287536621
0.125,0.875,0.25,0.0389304161071777
0.125,1,0.25,0.044304370880127
0.125,1.125,0.25,0.0509030818939209
0.125,1.25,0.25,0.0665287971496582
0.125,1.375,0.25,0.0406315326690674
0.125,1.5,0.25,0.115522146224976
0.125,1.625,0.25,0.136093139648438
0.125,1.75,0.25,0.048708438873291
0.125,1.875,0.25,0.0647416114807129
0.125,0,0.375,0.0775666236877441
0.125,0.125,0.375,0.0613527297973633
0.125,0.25,0.375,0.0416138172149658
0.125,0.375,0.375,0.0465738773345947
0.125,0.5,0.375,0.0597245693206787
0.125,0.625,0.375,0.0530893802642822
0.125,0.75,0.375,0.103417158126831
0.125,0.875,0.375,0.119969367980957
0.125,1,0.375,0.0763695240020752
0.125,1.125,0.375,0.0351512432098389
0.125,1.25,0.375,0.0949170589447021
0.125,1.375,0.375,0.0799486637115479
0.125,1.5,0.375,0.0558032989501953
0.125,1.625,0.375,0.108023166656494
0.125,1.75,0.375,0.0304117202758789
0.125,1.875,0.375,0.0370945930480957
0.125,0,0.5,0.069934606552124
0.125,0.125,0.5,0.0494399070739746
0.125,0.25,0.5,0.0550220012664795
0.125,0.375,0.5,0.0582053661346436
0.125,0.5,0.5,0.0519280433654785
0.125,0.625,0.5,0.114704608917236
0.125,0.75,0.5,0.0778348445892334
0.125,0.875,0.5,0.060924768447876
0.125,1,0.5,0.0971946716308594
0.125,1.125,0.5,0.0421516895294189
0.125,1.25,0.5,0.0847289562225342
0.125,1.375,0.5,0.0713391304016113
0.125,1.5,0.5,0.0671460628509521
0.125,1.625,0.5,0.0854125022888184
0.125,1.75,0.5,0.0625689029693604
0.125,1.875,0.5,0.0570766925811768
0.125,0,0.625,0.0507428646087646
0.125,0.125,0.625,0.0535218715667725
0.125,0.25,0.625,0.0416867733001709
0.125,0.375,0.625,0.0822615623474121
0.125,0.5,0.625,0.0988385677337646
0.125,0.625,0.625,0.102028369903564
0.125,0.75,0.625,0.0860435962677002
0.125,0.875,0.625,0.0453917980194092
0.125,1,0.625,0.178006172180176
0.125,1.125,0.625,0.124570846557617
0.125,1.25,0.625,0.0814778804779053
0.125,1.375,0.625,0.0462937355041504
0.125,1.5,0.625,0.0526032447814941
0.125,1.625,0.625,0.0879108905792236
0.125,1.75,0.625,0.0777692794799805
0.125,1.875,0.625,0.054396390914917
0.125,0,0.75,0.0679295063018799
0.125,0.125,0.75,0.0640509128570557
0.125,0.25,0.75,0.0393195152282715
0.125,0.375,0.75,0.102440357208252
0.125,0.5,0.75,0.101902008056641
0.125,0.625,0.75,0.0619215965270996
0.125,0.75,0.75,0.0694034099578857
0.125,0.875,0.75,0.0584003925323486
0.125,1,0.75,0.154993295669556
0.125,1.125,0.75,0.0895700454711914
0.125,1.25,0.75,0.0566802024841309
0.125,1.375,0.75,0.0717411041259766
0.125,1.5,0.75,0.0675041675567627
0.125,1.625,0.75,0.0704050064086914
0.125,1.75,0.75,0.0571415424346924
0.125,1.875,0.75,0.0616123676300049
0.125,0,0.875,0.0531938076019287
0.125,0.125,0.875,0.04872727394104
0.125,0.25,0.875,0.048893928527832
0.125,0.375,0.875,0.0512456893920898
0.125,0.5,0.875,0.158464193344116
0.125,0.625,0.875,0.102290391921997
0.125,0.75,0.875,0.0797569751739502
0.125,0.875,0.875,0.0801072120666504
0.125,1,0.875,0.0652716159820557
0.125,1.125,0.875,0.0506455898284912
0.125,1.25,0.875,0.0835998058319092
0.125,1.375,0.875,0.0743646621704102
0.125,1.5,0.875,0.0511791706085205
0.125,1.625,0.875,0.0628833770751953
0.125,1.75,0.875,0.0459885597229004
0.125,1.875,0.875,0.0516679286956787
0.125,0,1,0.040543794631958
0.125,0.125,1,0.0662353038787842
0.125,0.25,1,0.0617141723632812
0.125,0.375,1,0.134360074996948
0.125,0.5,1,0.116212844848633
