"L0","x","y","H0"
2,0,0,0.468437671661377
1,0,0,0.468437671661377
1,1,0,0.390754461288452
1,0,1,0.362798690795898
1,1,1,0.259210586547852
0.5,0,0,0.275887966156006
0.5,0.5,0,0.226028680801392
0.5,1,0,0.307007074356079
0.5,1.5,0,0.164097547531128
0.5,0,0.5,0.300682067871094
0.5,0.5,0.5,0.432941913604736
0.5,1,0.5,0.248690366744995
0.5,1.5,0.5,0.26336669921875
0.5,0,1,0.306982040405273
0.5,0.5,1,0.229003667831421
0.5,1,1,0.128935575485229
0.5,1.5,1,0.259210586547852
0.5,0,1.5,0.177250862121582
0.5,0.5,1.5,0.209702253341675
0.5,1,1.5,0.192678928375244
0.5,1.5,1.5,0.20884370803833
0.25,0,0,0.249944448471069
0.25,0.25,0,0.0756123065948486
0.25,0.5,0,0.0793845653533936
0.25,0.75,0,0.0802812576293945
0.25,1,0,0.189032554626465
0.25,1.25,0,0.108242273330688
0.25,1.5,0,0.0464599132537842
0.25,1.75,0,0.0552051067352295
0.25,0,0.25,0.259888887405396
0.25,0.25,0.25,0.0982425212860107
0.25,0.5,0.25,0.100146532058716
0.25,0.75,0.25,0.192512035369873
0.25,1,0.25,0.260353803634644
0.25,1.25,0.25,0.154149293899536
0.25,1.5,0.25,0.13219165802002
0.25,1.75,0.25,0.148681163787842
0.25,0,0.5,0.126666784286499
0.25,0.25,0.5,0.300682067871094
0.25,0.5,0.5,0.405355215072632
0.25,0.75,0.5,0.412497997283936
0.25,1,0.5,0.199731111526489
0.25,1.25,0.5,0.146645545959473
0.25,1.5,0.5,0.203879594802856
0.25,1.75,0.5,0.156378507614136
0.25,0,0.75,0.0865445137023926
0.25,0.25,0.75,0.286431789398193
0.25,0.5,0.75,0.21213698387146
0.25,0.75,0.75,0.205023288726807
0.25,1,0.75,0.0819211006164551
0.25,1.25,0.75,0.233278274536133
0.25,1.5,0.75,0.242576837539673
0.25,1.75,0.75,0.219010591506958
0.25,0,1,0.128396511077881
0.25,0.25,1,0.306982040405273
0.25,0.5,1,0.206713676452637
0.25,0.75,1,0.21803617477417
0.25,1,1,0.0833539962768555
0.25,1.25,1,0.120621919631958
0.25,1.5,1,0.107240915298462
0.25,1.75,1,0.237763404846191
0.25,0,1.25,0.0843539237976074
0.25,0.25,1.25,0.196617126464844
0.25,0.5,1.25,0.146745920181274
0.25,0.75,1.25,0.150486469268799
0.25,1,1.25,0.0704085826873779
0.25,1.25,1.25,0.0701217651367188
0.25,1.5,1.25,0.137606620788574
0.25,1.75,1.25,0.170137166976929
0.25,0,1.5,0.166834115982056
0.25,0.25,1.5,0.115543127059937
0.25,0.5,1.5,0.142059326171875
0.25,0.75,1.5,0.166204690933228
0.25,1,1.5,0.110982179641724
0.25,1.25,1.5,0.106980562210083
0.25,1.5,1.5,0.16654372215271
0.25,1.75,1.5,0.128595590591431
0.25,0,1.75,0.149862289428711
0.25,0.25,1.75,0.148653984069824
0.25,0.5,1.75,0.164119243621826
0.25,0.75,1.75,0.16856575012207
0.25,1,1.75,0.171035289764404
0.25,1.25,1.75,0.178723573684692
0.25,1.5,1.75,0.16924524307251
0.25,1.75,1.75,0.113198518753052
0.125,0,0,0.226714134216309
0.125,0.125,0,0.0739083290100098
0.125,0.25,0,0.065657377243042
0.125,0.375,0,0.0747230052947998
0.125,0.5,0,0.0434730052947998
0.125,0.625,0,0.0600748062133789
0.125,0.75,0,0.0592727661132812
0.125,0.875,0,0.0767099857330322
0.125,1,0,0.112607955932617
0.125,1.125,0,0.164669036865234
0.125,1.25,0,0.0814735889434814
0.125,1.375,0,0.0766239166259766
0.125,1.5,0,0.0187888145446777
0.125,1.625,0,0.0352122783660889
0.125,1.75,0,0.0527424812316895
0.125,1.875,0,0.0462262630462646
0.125,0,0.125,0.248939514160156
0.125,0.125,0.125,0.0919499397277832
0.125,0.25,0.125,0.0475404262542725
0.125,0.375,0.125,0.0500292778015137
0.125,0.5,0.125,0.0606389045715332
0.125,0.625,0.125,0.0589637756347656
0.125,0.75,0.125,0.0671327114105225
0.125,0.875,0.125,0.0616419315338135
0.125,1,0.125,0.153168201446533
0.125,1.125,0.125,0.102329015731812
0.125,1.25,0.125,0.0702736377716064
0.125,1.375,0.125,0.0383703708648682
0.125,1.5,0.125,0.0230257511138916
0.125,1.625,0.125,0.0262861251831055
0.125,1.75,0.125,0.0234301090240479
0.125,1.875,0.125,0.0335347652435303
0.125,0,0.25,0.258316993713379
0.125,0.125,0.25,0.0504436492919922
0.125,0.25,0.25,0.04744553565979
0.125,0.375,0.25,0.071230411529541
0.125,0.5,0.25,0.0715360641479492
0.125,0.625,0.25,0.0623064041137695
0.125,0.75,0.25,0.0425949096679688
0.125,0.875,0.25,0.192512035369873
0.125,1,0.25,0.158451795578003
0.125,1.125,0.25,0.0973985195159912
0.125,1.25,0.25,0.131502628326416
0.125,1.375,0.25,0.0469822883605957
0.125,1.5,0.25,0.0388109683990479
0.125,1.625,0.25,0.0359451770782471
0.125,1.75,0.25,0.117727041244507
0.125,1.875,0.25,0.122692823410034
0.125,0,0.375,0.160311222076416
0.125,0.125,0.375,0.0482413768768311
0.125,0.25,0.375,0.031552791595459
0.125,0.375,0.375,0.067577600479126
0.125,0.5,0.375,0.0542337894439697
0.125,0.625,0.375,0.0698058605194092
0.125,0.75,0.375,0.109963178634644
0.125,0.875,0.375,0.18532657623291
0.125,1,0.375,0.168547391891479
0.125,1.125,0.375,0.114962577819824
0.125,1.25,0.375,0.124316692352295
0.125,1.375,0.375,0.123006582260132
0.125,1.5,0.375,0.117139339447021
0.125,1.625,0.375,0.0639984607696533
0.125,1.75,0.375,0.115969181060791
0.125,1.875,0.375,0.0896074771881104
0.125,0,0.5,0.104594469070435
0.125,0.125,0.5,0.108237981796265
0.125,0.25,0.5,0.0844569206237793
0.125,0.375,0.5,0.236537933349609
0.125,0.5,0.5,0.356423616409302
0.125,0.625,0.5,0.393529415130615
0.125,0.75,0.5,0.400753021240234
0.125,0.875,0.5,0.3261399269104
0.125,1,0.5,0.177652597427368
0.125,1.125,0.5,0.0613729953765869
0.125,1.25,0.5,0.0659060478210449
0.125,1.375,0.5,0.139018774032593
0.125,1.5,0.5,0.150099515914917
0.125,1.625,0.5,0.0867745876312256
0.125,1.75,0.5,0.133951187133789
0.125,1.875,0.5,0.140969038009644
0.125,0,0.625,0.117924451828003
0.125,0.125,0.625,0.118581771850586
0.125,0.25,0.625,0.0772576332092285
0.125,0.375,0.625,0.297173023223877
0.125,0.5,0.625,0.0744080543518066
0.125,0.625,0.625,0.0929272174835205
0.125,0.75,0.625,0.400863409042358
0.125,0.875,0.625,0.339539051055908
0.125,1,0.625,0.0731050968170166
0.125,1.125,0.625,0.0968582630157471
0.125,1.25,0.625,0.0824971199035645
0.125,1.375,0.625,0.0798835754394531
0.125,1.5,0.625,0.126899480819702
0.125,1.625,0.625,0.0514240264892578
0.125,1.75,0.625,0.115197896957397
0.125,1.875,0.625,0.133611440658569
0.125,0,0.75,0.0552139282226562
0.125,0.125,0.75,0.0622541904449463
0.125,0.25,0.75,0.0473458766937256
0.125,0.375,0.75,0.285681247711182
0.125,0.5,0.75,0.206356048583984
0.125,0.625,0.75,0.0749366283416748
0.125,0.75,0.75,0.203701734542847
0.125,0.875,0.75,0.0818336009979248
0.125,1,0.75,0.0657539367675781
0.125,1.125,0.75,0.0396296977996826
0.125,1.25,0.75,0.0491507053375244
0.125,1.375,0.75,0.233100414276123
0.125,1.5,0.75,0.212629556655884
0.125,1.625,0.75,0.10448145866394
0.125,1.75,0.75,0.0945272445678711
0.125,1.875,0.75,0.108718395233154
0.125,0,0.875,0.0639858245849609
0.125,0.125,0.875,0.0426969528198242
0.125,0.25,0.875,0.0400476455688477
0.125,0.375,0.875,0.229358434677124
0.125,0.5,0.875,0.197399616241455
0.125,0.625,0.875,0.0818791389465332
0.125,0.75,0.875,0.162220478057861
0.125,0.875,0.875,0.0259015560150146
0.125,1,0.875,0.0819211006164551
0.125,1.125,0.875,0.0627081394195557
0.125,1.25,0.875,0.0460021495819092
0.125,1.375,0.875,0.0593910217285156
0.125,1.5,0.875,0.21183443069458
0.125,1.625,0.875,0.204235553741455
0.125,1.75,0.875,0.211498022079468
0.125,1.875,0.875,0.0510711669921875
0.125,0,1,0.12809944152832
0.125,0.125,1,0.042290210723877
0.125,0.25,1,0.0931315422058105
0.125,0.375,1,0.301739931106567
0.125,0.5,1,0.0805459022521973
0.125,0.625,1,0.0676469802856445
0.125,0.75,1,0.145992755889893
0.125,0.875,1,0.0727758407592773
0.125,1,1,0.0656867027282715
0.125,1.125,1,0.0628025531768799
0.125,1.25,1,0.0813069343566895
0.125,1.375,1,0.11412525177002
0.125,1.5,1,0.086174488067627
0.125,1.625,1,0.106867551803589
0.125,1.75,1,0.214387655258179
0.125,1.875,1,0.218523263931274
0.125,0,1.125,0.115151405334473
0.125,0.125,1.125,0.0767166614532471
0.125,0.25,1.125,0.230737447738647
0.125,0.375,1.125,0.252273321151733
0.125,0.5,1.125,0.074732780456543
0.125,0.625,1.125,0.165746212005615
0.125,0.75,1.125,0.172939777374268
0.125,0.875,1.125,0.0635547637939453
0.125,1,1.125,0.0630533695220947
0.125,1.125,1.125,0.0506281852722168
0.125,1.25,1.125,0.0563070774078369
0.125,1.375,1.125,0.090947151184082
0.125,1.5,1.125,0.0632712841033936
0.125,1.625,1.125,0.0375726222991943
0.125,1.75,1.125,0.116201400756836
0.125,1.875,1.125,0.177584648132324
0.125,0,1.25,0.0537087917327881
0.125,0.125,1.25,0.0744762420654297
0.125,0.25,1.25,0.152868986129761
0.125,0.375,1.25,0.145614624023438
0.125,0.5,1.25,0.118557214736938
0.125,0.625,1.25,0.0908229351043701
0.125,0.75,1.25,0.0363709926605225
0.125,0.875,1.25,0.0659065246582031
0.125,1,1.25,0.0219688415527344
0.125,1.125,1.25,0.0423195362091064
0.125,1.25,1.25,0.0382626056671143
0.125,1.375,1.25,0.0443129539489746
0.125,1.5,1.25,0.106987237930298
0.125,1.625,1.25,0.0585329532623291
0.125,1.75,1.25,0.0729341506958008
0.125,1.875,1.25,0.156241416931152
0.125,0,1.375,0.0455961227416992
0.125,0.125,1.375,0.0732665061950684
0.125,0.25,1.375,0.0631163120269775
0.125,0.375,1.375,0.0593903064727783
0.125,0.5,1.375,0.0473153591156006
0.125,0.625,1.375,0.12147331237793
0.125,0.75,1.375,0.127601385116577
0.125,0.875,1.375,0.0556116104125977
0.125,1,1.375,0.0649983882904053
0.125,1.125,1.375,0.0595293045043945
0.125,1.25,1.375,0.0558311939239502
0.125,1.375,1.375,0.0430305004119873
0.125,1.5,1.375,0.0718851089477539
0.125,1.625,1.375,0.0755856037139893
0.125,1.75,1.375,0.0928714275360107
0.125,1.875,1.375,0.0954816341400146
0.125,0,1.5,0.105793714523315
0.125,0.125,1.5,0.0832550525665283
0.125,0.25,1.5,0.0906062126159668
0.125,0.375,1.5,0.0813417434692383
0.125,0.5,1.5,0.0806663036346436
0.125,0.625,1.5,0.112844705581665
0.125,0.75,1.5,0.123161315917969
0.125,0.875,1.5,0.0539255142211914
0.125,1,1.5,0.0820276737213135
0.125,1.125,1.5,0.0627944469451904
0.125,1.25,1.5,0.0387043952941895
0.125,1.375,1.5,0.0537676811218262
0.125,1.5,1.5,0.103157520294189
0.125,1.625,1.5,0.120198726654053
0.125,1.75,1.5,0.0962281227111816
0.125,1.875,1.5,0.0476653575897217
0.125,0,1.625,0.120385408401489
