"L0","x","y","H0"
2,0,0,1.52647113800049
1,0,0,0.850082397460938
1,1,0,1.33427691459656
1,0,1,1.04897689819336
1,1,1,1.05496263504028
0.5,0,0,0.78745698928833
0.5,0.5,0,0.692056655883789
0.5,1,0,0.382313251495361
0.5,1.5,0,1.33128499984741
0.5,0,0.5,0.400397062301636
0.5,0.5,0.5,0.593262195587158
0.5,1,0.5,0.792315244674683
0.5,1.5,0.5,1.01841497421265
0.5,0,1,0.878947734832764
0.5,0.5,1,0.82813286781311
0.5,1,1,0.96437668800354
0.5,1.5,1,0.475317001342773
0.5,0,1.5,0.739014148712158
0.5,0.5,1.5,1.01150345802307
0.5,1,1.5,0.81230092048645
0.5,1.5,1.5,0.850257873535156
0.25,0,0,0.750785827636719
0.25,0.25,0,0.461620330810547
0.25,0.5,0,0.684336185455322
0.25,0.75,0,0.34537148475647
0.25,1,0,0.374645948410034
0.25,1.25,0,0.302078485488892
0.25,1.5,0,1.12383460998535
0.25,1.75,0,0.240650177001953
0.25,0,0.25,0.328332424163818
0.25,0.25,0.25,0.38657283782959
0.25,0.5,0.25,0.192560911178589
0.25,0.75,0.25,0.282002925872803
0.25,1,0.25,0.253740549087524
0.25,1.25,0.25,0.332512617111206
0.25,1.5,0.25,1.14474272727966
0.25,1.75,0.25,0.198952436447144
0.25,0,0.5,0.282542943954468
0.25,0.25,0.5,0.239280700683594
0.25,0.5,0.5,0.248943567276001
0.25,0.75,0.5,0.482036590576172
0.25,1,0.5,0.425822973251343
0.25,1.25,0.5,0.532448291778564
0.25,1.5,0.5,0.991826295852661
0.25,1.75,0.5,0.939919710159302
0.25,0,0.75,0.116208791732788
0.25,0.25,0.75,0.272885322570801
0.25,0.5,0.75,0.553343296051025
0.25,0.75,0.75,0.539607524871826
0.25,1,0.75,0.582553863525391
0.25,1.25,0.75,0.280402183532715
0.25,1.5,0.75,0.571201324462891
0.25,1.75,0.75,0.455980539321899
0.25,0,1,0.516313791275024
0.25,0.25,1,0.433983564376831
0.25,0.5,1,0.319019794464111
0.25,0.75,1,0.524587631225586
0.25,1,1,0.531762838363647
0.25,1.25,1,0.304609775543213
0.25,1.5,1,0.22394061088562
0.25,1.75,1,0.298014163970947
0.25,0,1.25,0.43824577331543
0.25,0.25,1.25,0.836269617080688
0.25,0.5,1.25,0.802685976028442
0.25,0.75,1.25,0.537413358688354
0.25,1,1.25,0.96437668800354
0.25,1.25,1.25,0.511956214904785
0.25,1.5,1.25,0.378169775009155
0.25,1.75,1.25,0.169665336608887
0.25,0,1.5,0.600108861923218
0.25,0.25,1.5,0.416277885437012
0.25,0.5,1.5,0.575740575790405
0.25,0.75,1.5,0.650976419448853
0.25,1,1.5,0.81230092048645
0.25,1.25,1.5,0.581883907318115
0.25,1.5,1.5,0.714019060134888
0.25,1.75,1.5,0.850257873535156
0.25,0,1.75,0.284785032272339
0.25,0.25,1.75,0.480531692504883
0.25,0.5,1.75,0.563546657562256
0.25,0.75,1.75,0.477640628814697
0.25,1,1.75,0.172942161560059
0.25,1.25,1.75,0.49094033241272
0.25,1.5,1.75,0.213920831680298
0.25,1.75,1.75,0.468579053878784
0.125,0,0,0.589439868927002
0.125,0.125,0,0.716585636138916
0.125,0.25,0,0.391308307647705
0.125,0.375,0,0.446345329284668
0.125,0.5,0,0.0472230911254883
0.125,0.625,0,0.408151149749756
0.125,0.75,0,0.213181257247925
0.125,0.875,0,0.235673427581787
0.125,1,0,0.306807518005371
0.125,1.125,0,0.32016134262085
0.125,1.25,0,0.116172790527344
0.125,1.375,0,0.207923173904419
0.125,1.5,0,0.803220748901367
0.125,1.625,0,0.947442054748535
0.125,1.75,0,0.135484218597412
0.125,1.875,0,0.134670495986938
0.125,0,0.125,0.268110990524292
0.125,0.125,0.125,0.233059644699097
0.125,0.25,0.125,0.140541553497314
0.125,0.375,0.125,0.450804233551025
0.125,0.5,0.125,0.374629735946655
0.125,0.625,0.125,0.397964954376221
0.125,0.75,0.125,0.341724872589111
0.125,0.875,0.125,0.218345165252686
0.125,1,0.125,0.307032823562622
0.125,1.125,0.125,0.344748973846436
0.125,1.25,0.125,0.115437269210815
0.125,1.375,0.125,0.251492977142334
0.125,1.5,0.125,0.928108215332031
0.125,1.625,0.125,0.854558706283569
0.125,1.75,0.125,0.105385780334473
0.125,1.875,0.125,0.137458324432373
0.125,0,0.25,0.134126424789429
0.125,0.125,0.25,0.140547037124634
0.125,0.25,0.25,0.328554153442383
0.125,0.375,0.25,0.278280973434448
0.125,0.5,0.25,0.127908945083618
0.125,0.625,0.25,0.177964210510254
0.125,0.75,0.25,0.132084369659424
0.125,0.875,0.25,0.17257833480835
0.125,1,0.25,0.123301982879639
0.125,1.125,0.25,0.115214824676514
0.125,1.25,0.25,0.100364446640015
0.125,1.375,0.25,0.277955293655396
0.125,1.5,0.25,0.923079967498779
0.125,1.625,0.25,0.273674011230469
0.125,1.75,0.25,0.156867027282715
0.125,1.875,0.25,0.110183715820312
0.125,0,0.375,0.257341623306274
0.125,0.125,0.375,0.279819011688232
0.125,0.25,0.375,0.279280185699463
0.125,0.375,0.375,0.0468685626983643
0.125,0.5,0.375,0.0883746147155762
0.125,0.625,0.375,0.189233779907227
0.125,0.75,0.375,0.147631168365479
0.125,0.875,0.375,0.127039432525635
0.125,1,0.375,0.0963253974914551
0.125,1.125,0.375,0.213336944580078
0.125,1.25,0.375,0.278921127319336
0.125,1.375,0.375,0.234978675842285
0.125,1.5,0.375,0.573358297348022
0.125,1.625,0.375,0.680754661560059
0.125,1.75,0.375,0.151097536087036
0.125,1.875,0.375,0.0584213733673096
0.125,0,0.5,0.264864683151245
0.125,0.125,0.5,0.0494585037231445
0.125,0.25,0.5,0.0828301906585693
0.125,0.375,0.5,0.0929312705993652
0.125,0.5,0.5,0.0737109184265137
0.125,0.625,0.5,0.119202375411987
0.125,0.75,0.5,0.103299617767334
0.125,0.875,0.5,0.236882925033569
0.125,1,0.5,0.096156120300293
0.125,1.125,0.5,0.117013692855835
0.125,1.25,0.5,0.308727025985718
0.125,1.375,0.5,0.321637630462646
0.125,1.5,0.5,0.360308885574341
0.125,1.625,0.5,0.915183782577515
0.125,1.75,0.5,0.706180095672607
0.125,1.875,0.5,0.447154760360718
0.125,0,0.625,0.0347645282745361
0.125,0.125,0.625,0.0465729236602783
0.125,0.25,0.625,0.111724615097046
0.125,0.375,0.625,0.239280700683594
0.125,0.5,0.625,0.175617933273315
0.125,0.625,0.625,0.210281372070312
0.125,0.75,0.625,0.334098815917969
0.125,0.875,0.625,0.423444747924805
0.125,1,0.625,0.419161319732666
0.125,1.125,0.625,0.312288761138916
0.125,1.25,0.625,0.292535543441772
0.125,1.375,0.625,0.324892520904541
0.125,1.5,0.625,0.21807599067688
0.125,1.625,0.625,0.315070390701294
0.125,1.75,0.625,0.81222677230835
0.125,1.875,0.625,0.527959823608398
0.125,0,0.75,0.0900020599365234
0.125,0.125,0.75,0.0508518218994141
0.125,0.25,0.75,0.100656270980835
0.125,0.375,0.75,0.226925134658813
0.125,0.5,0.75,0.169368267059326
0.125,0.625,0.75,0.375859498977661
0.125,0.75,0.75,0.332839250564575
0.125,0.875,0.75,0.377681732177734
0.125,1,0.75,0.564664125442505
0.125,1.125,0.75,0.0732648372650146
0.125,1.25,0.75,0.102134704589844
0.125,1.375,0.75,0.150802373886108
0.125,1.5,0.75,0.269458770751953
0.125,1.625,0.75,0.356171607971191
0.125,1.75,0.75,0.385108709335327
0.125,1.875,0.75,0.381726741790771
0.125,0,0.875,0.0498692989349365
0.125,0.125,0.875,0.0984723567962646
0.125,0.25,0.875,0.180454015731812
0.125,0.375,0.875,0.164110422134399
0.125,0.5,0.875,0.272429943084717
0.125,0.625,0.875,0.519285917282104
0.125,0.75,0.875,0.509742021560669
0.125,0.875,0.875,0.266907930374146
0.125,1,0.875,0.520581483840942
0.125,1.125,0.875,0.114749193191528
0.125,1.25,0.875,0.0964534282684326
0.125,1.375,0.875,0.183245182037354
0.125,1.5,0.875,0.21546459197998
0.125,1.625,0.875,0.274329662322998
0.125,1.75,0.875,0.0847494602203369
0.125,1.875,0.875,0.114837169647217
0.125,0,1,0.102746248245239
0.125,0.125,1,0.113564729690552
0.125,0.25,1,0.290098905563354
0.125,0.375,1,0.0879120826721191
0.125,0.5,1,0.209136486053467
0.125,0.625,1,0.229291439056396
0.125,0.75,1,0.409331083297729
0.125,0.875,1,0.305503368377686
0.125,1,1,0.382004976272583
0.125,1.125,1,0.144314527511597
0.125,1.25,1,0.132142543792725
0.125,1.375,1,0.179600715637207
0.125,1.5,1,0.118279218673706
0.125,1.625,1,0.21279239654541
0.125,1.75,1,0.262301445007324
0.125,1.875,1,0.287664651870728
0.125,0,1.125,0.44161319732666
0.125,0.125,1.125,0.38500714302063
0.125,0.25,1.125,0.361629009246826
0.125,0.375,1.125,0.112843036651611
0.125,0.5,1.125,0.284209012985229
0.125,0.625,1.125,0.292161226272583
0.125,0.75,1.125,0.23991060256958
