"L0","x","y","H0"
2,0,0,1.54866695404053
1,0,0,0.976732492446899
1,1,0,0.97844409942627
1,0,1,1.15207815170288
1,1,1,1.07464265823364
0.5,0,0,0.712234258651733
0.5,0.5,0,0.689891338348389
0.5,1,0,0.701629400253296
0.5,1.5,0,0.626395463943481
0.5,0,0.5,0.564090967178345
0.5,0.5,0.5,0.687733173370361
0.5,1,0.5,0.800677061080933
0.5,1.5,0.5,0.314775943756104
0.5,0,1,0.791542053222656
0.5,0.5,1,1.09152460098267
0.5,1,1,0.863040447235107
0.5,1.5,1,0.493828535079956
0.5,0,1.5,0.812542676925659
0.5,0.5,1.5,0.439453840255737
0.5,1,1.5,0.702171087265015
0.5,1.5,1.5,0.757962703704834
0.25,0,0,0.436449527740479
0.25,0.25,0,0.698613405227661
0.25,0.5,0,0.280543088912964
0.25,0.75,0,0.689891338348389
0.25,1,0,0.252846479415894
0.25,1.25,0,0.270933628082275
0.25,1.5,0,0.279567003250122
0.25,1.75,0,0.483941316604614
0.25,0,0.25,0.431999206542969
0.25,0.25,0.25,0.264150619506836
0.25,0.5,0.25,0.437976598739624
0.25,0.75,0.25,0.648224353790283
0.25,1,0.25,0.352671146392822
0.25,1.25,0.25,0.569790363311768
0.25,1.5,0.25,0.377376317977905
0.25,1.75,0.25,0.316812753677368
0.25,0,0.5,0.342723846435547
0.25,0.25,0.5,0.325411319732666
0.25,0.5,0.5,0.409584522247314
0.25,0.75,0.5,0.472115993499756
0.25,1,0.5,0.655507564544678
0.25,1.25,0.5,0.545323610305786
0.25,1.5,0.5,0.269725799560547
0.25,1.75,0.5,0.245761632919312
0.25,0,0.75,0.51520562171936
0.25,0.25,0.75,0.316059112548828
0.25,0.5,0.75,0.440750360488892
0.25,0.75,0.75,0.642972946166992
0.25,1,0.75,0.418133974075317
0.25,1.25,0.75,0.57596230506897
0.25,1.5,0.75,0.147236824035645
0.25,1.75,0.75,0.24274206161499
0.25,0,1,0.490798950195312
0.25,0.25,1,0.77826189994812
0.25,0.5,1,0.695070743560791
0.25,0.75,1,0.788484334945679
0.25,1,1,0.567890405654907
0.25,1.25,1,0.422313928604126
0.25,1.5,1,0.434334754943848
0.25,1.75,1,0.446773529052734
0.25,0,1.25,0.152225017547607
0.25,0.25,1.25,0.73074197769165
0.25,0.5,1.25,0.585709095001221
0.25,0.75,1.25,0.309698581695557
0.25,1,1.25,0.682877540588379
0.25,1.25,1.25,0.859790325164795
0.25,1.5,1.25,0.437773466110229
0.25,1.75,1.25,0.138439416885376
0.25,0,1.5,0.558284282684326
0.25,0.25,1.5,0.605542421340942
0.25,0.5,1.5,0.390620946884155
0.25,0.75,1.5,0.307978868484497
0.25,1,1.5,0.325796365737915
0.25,1.25,1.5,0.546736240386963
0.25,1.5,1.5,0.182746648788452
0.25,1.75,1.5,0.167129516601562
0.25,0,1.75,0.191886901855469
0.25,0.25,1.75,0.377967119216919
0.25,0.5,1.75,0.408647537231445
0.25,0.75,1.75,0.341920614242554
0.25,1,1.75,0.466958045959473
0.25,1.25,1.75,0.624768018722534
0.25,1.5,1.75,0.476690769195557
0.25,1.75,1.75,0.668925046920776
0.125,0,0,0.198613882064819
0.125,0.125,0,0.192319393157959
0.125,0.25,0,0.405606508255005
0.125,0.375,0,0.362400054931641
0.125,0.5,0,0.170028686523438
0.125,0.625,0,0.280543088912964
0.125,0.75,0,0.607176065444946
0.125,0.875,0,0.189631938934326
0.125,1,0,0.180372476577759
0.125,1.125,0,0.206397533416748
0.125,1.25,0,0.230294704437256
0.125,1.375,0,0.21019983291626
0.125,1.5,0,0.210201263427734
0.125,1.625,0,0.188650369644165
0.125,1.75,0,0.209677934646606
0.125,1.875,0,0.193796873092651
0.125,0,0.125,0.159308671951294
0.125,0.125,0.125,0.324849367141724
0.125,0.25,0.125,0.30533242225647
0.125,0.375,0.125,0.223830223083496
0.125,0.5,0.125,0.142846584320068
0.125,0.625,0.125,0.125330686569214
0.125,0.75,0.125,0.651299715042114
0.125,0.875,0.125,0.142275333404541
0.125,1,0.125,0.13655948638916
0.125,1.125,0.125,0.233427762985229
0.125,1.25,0.125,0.156195163726807
0.125,1.375,0.125,0.243472099304199
0.125,1.5,0.125,0.162364959716797
0.125,1.625,0.125,0.0947535037994385
0.125,1.75,0.125,0.348820209503174
0.125,1.875,0.125,0.447475433349609
0.125,0,0.25,0.135255575180054
0.125,0.125,0.25,0.368163824081421
0.125,0.25,0.25,0.156612157821655
0.125,0.375,0.25,0.178546905517578
0.125,0.5,0.25,0.191605806350708
0.125,0.625,0.25,0.0900650024414062
0.125,0.75,0.25,0.493904829025269
0.125,0.875,0.25,0.394253492355347
0.125,1,0.25,0.293508768081665
0.125,1.125,0.25,0.336693525314331
0.125,1.25,0.25,0.185454130172729
0.125,1.375,0.25,0.378962516784668
0.125,1.5,0.25,0.0987648963928223
0.125,1.625,0.25,0.128411054611206
0.125,1.75,0.25,0.246176242828369
0.125,1.875,0.25,0.232599258422852
0.125,0,0.375,0.330684185028076
0.125,0.125,0.375,0.431937217712402
0.125,0.25,0.375,0.140686750411987
0.125,0.375,0.375,0.236344337463379
0.125,0.5,0.375,0.424221515655518
0.125,0.625,0.375,0.194228887557983
0.125,0.75,0.375,0.317196369171143
0.125,0.875,0.375,0.108602523803711
0.125,1,0.375,0.0937466621398926
0.125,1.125,0.375,0.177325487136841
0.125,1.25,0.375,0.241628170013428
0.125,1.375,0.375,0.418495416641235
0.125,1.5,0.375,0.299211263656616
0.125,1.625,0.375,0.184567213058472
0.125,1.75,0.375,0.107865571975708
0.125,1.875,0.375,0.172197341918945
0.125,0,0.5,0.150105953216553
0.125,0.125,0.5,0.342315673828125
0.125,0.25,0.5,0.325411319732666
0.125,0.375,0.5,0.114698171615601
