"L0","x","y","H0"
2,0,0,0.484419822692871
1,0,0,0.375428676605225
1,1,0,0.401204109191895
1,0,1,0.274181842803955
1,1,1,0.326613426208496
0.5,0,0,0.131571769714355
0.5,0.5,0,0.22768235206604
0.5,1,0,0.243716716766357
0.5,1.5,0,0.124759674072266
0.5,0,0.5,0.122584342956543
0.5,0.5,0.5,0.301293611526489
0.5,1,0.5,0.389503240585327
0.5,1.5,0.5,0.293999433517456
0.5,0,1,0.173408269882202
0.5,0.5,1,0.261705636978149
0.5,1,1,0.251427173614502
0.5,1.5,1,0.321009874343872
0.5,0,1.5,0.123997688293457
0.5,0.5,1.5,0.247719526290894
0.5,1,1.5,0.24809193611145
0.5,1.5,1.5,0.298984050750732
0.25,0,0,0.0587103366851807
0.25,0.25,0,0.0982322692871094
0.25,0.5,0,0.116681098937988
0.25,0.75,0,0.147155046463013
0.25,1,0,0.144760847091675
0.25,1.25,0,0.20633864402771
0.25,1.5,0,0.0688226222991943
0.25,1.75,0,0.0570683479309082
0.25,0,0.25,0.0935666561126709
0.25,0.25,0.25,0.115669727325439
0.25,0.5,0.25,0.164367198944092
0.25,0.75,0.25,0.186259031295776
0.25,1,0.25,0.192031145095825
0.25,1.25,0.25,0.121908664703369
0.25,1.5,0.25,0.111327171325684
0.25,1.75,0.25,0.10862135887146
0.25,0,0.5,0.0902249813079834
0.25,0.25,0.5,0.100434064865112
0.25,0.5,0.5,0.23395037651062
0.25,0.75,0.5,0.267103910446167
0.25,1,0.5,0.3176109790802
0.25,1.25,0.5,0.17162036895752
0.25,1.5,0.5,0.0905089378356934
0.25,1.75,0.5,0.148131847381592
0.25,0,0.75,0.0626568794250488
0.25,0.25,0.75,0.108144283294678
0.25,0.5,0.75,0.218970537185669
0.25,0.75,0.75,0.246165037155151
0.25,1,0.75,0.0970547199249268
0.25,1.25,0.75,0.169196128845215
0.25,1.5,0.75,0.255056381225586
0.25,1.75,0.75,0.214201211929321
0.25,0,1,0.0625224113464355
0.25,0.25,1,0.141618251800537
0.25,0.5,1,0.192071676254272
0.25,0.75,1,0.111612558364868
0.25,1,1,0.0905117988586426
0.25,1.25,1,0.148884296417236
0.25,1.5,1,0.162484407424927
0.25,1.75,1,0.1883864402771
0.25,0,1.25,0.0851039886474609
0.25,0.25,1.25,0.152240514755249
0.25,0.5,1.25,0.214746475219727
0.25,0.75,1.25,0.132001876831055
0.25,1,1.25,0.10353422164917
0.25,1.25,1.25,0.183674573898315
0.25,1.5,1.25,0.184296369552612
0.25,1.75,1.25,0.220847845077515
0.25,0,1.5,0.0961787700653076
0.25,0.25,1.5,0.0654439926147461
0.25,0.5,1.5,0.140937089920044
0.25,0.75,1.5,0.137362241744995
0.25,1,1.5,0.105295181274414
0.25,1.25,1.5,0.153565645217896
0.25,1.5,1.5,0.272538900375366
0.25,1.75,1.5,0.216983795166016
0.25,0,1.75,0.0872981548309326
0.25,0.25,1.75,0.104143857955933
0.25,0.5,1.75,0.100030660629272
0.25,0.75,1.75,0.186054944992065
0.25,1,1.75,0.216233015060425
0.25,1.25,1.75,0.163542032241821
0.25,1.5,1.75,0.15175986289978
0.25,1.75,1.75,0.173002481460571
0.125,0,0,0.0360291004180908
0.125,0.125,0,0.0560774803161621
0.125,0.25,0,0.0524201393127441
0.125,0.375,0,0.0356972217559814
0.125,0.5,0,0.0417296886444092
0.125,0.625,0,0.0482120513916016
0.125,0.75,0,0.0377845764160156
0.125,0.875,0,0.0538671016693115
0.125,1,0,0.126431941986084
0.125,1.125,0,0.139519691467285
0.125,1.25,0,0.200453996658325
0.125,1.375,0,0.0575082302093506
0.125,1.5,0,0.064556360244751
0.125,1.625,0,0.0401701927185059
0.125,1.75,0,0.041630744934082
