"L0","x","y","H0"
2,0,0,0.343789339065552
1,0,0,0.323331594467163
1,1,0,0.323002576828003
1,0,1,0.207847118377686
1,1,1,0.228699922561646
0.5,0,0,0.306278467178345
0.5,0.5,0,0.154612064361572
0.5,1,0,0.270449876785278
0.5,1.5,0,0.275071382522583
0.5,0,0.5,0.168362140655518
0.5,0.5,0.5,0.170523166656494
0.5,1,0.5,0.209390163421631
0.5,1.5,0.5,0.250624656677246
0.5,0,1,0.119049787521362
0.5,0.5,1,0.149161338806152
0.5,1,1,0.228699922561646
0.5,1.5,1,0.188480138778687
0.5,0,1.5,0.194072961807251
0.5,0.5,1.5,0.174614191055298
0.5,1,1.5,0.0884623527526855
0.5,1.5,1.5,0.0844154357910156
0.25,0,0,0.291908502578735
0.25,0.25,0,0.139914035797119
0.25,0.5,0,0.0821771621704102
0.25,0.75,0,0.0466487407684326
0.25,1,0,0.132985591888428
0.25,1.25,0,0.242063999176025
0.25,1.5,0,0.209702730178833
0.25,1.75,0,0.144647598266602
0.25,0,0.25,0.236739158630371
0.25,0.25,0.25,0.0363390445709229
0.25,0.5,0.25,0.0464446544647217
0.25,0.75,0.25,0.110018968582153
0.25,1,0.25,0.085299015045166
0.25,1.25,0.25,0.223409652709961
0.25,1.5,0.25,0.229034900665283
0.25,1.75,0.25,0.237694263458252
0.25,0,0.5,0.134372472763062
0.25,0.25,0.5,0.0683369636535645
0.25,0.5,0.5,0.0641424655914307
0.25,0.75,0.5,0.148026466369629
0.25,1,0.5,0.154837846755981
0.25,1.25,0.5,0.11018443107605
0.25,1.5,0.5,0.192660808563232
0.25,1.75,0.5,0.200412034988403
0.25,0,0.75,0.124449014663696
0.25,0.25,0.75,0.0414116382598877
0.25,0.5,0.75,0.0720410346984863
0.25,0.75,0.75,0.170523166656494
0.25,1,0.75,0.156840085983276
0.25,1.25,0.75,0.175849437713623
0.25,1.5,0.75,0.163704395294189
0.25,1.75,0.75,0.174031257629395
0.25,0,1,0.0647346973419189
0.25,0.25,1,0.09246826171875
0.25,0.5,1,0.0544414520263672
0.25,0.75,1,0.112052917480469
0.25,1,1,0.122043132781982
0.25,1.25,1,0.191287040710449
0.25,1.5,1,0.171650648117065
0.25,1.75,1,0.0843181610107422
0.25,0,1.25,0.0594115257263184
0.25,0.25,1.25,0.109803199768066
0.25,0.5,1.25,0.0712687969207764
0.25,0.75,1.25,0.125916242599487
