"L0","x","y","H0"
2,0,0,0.58024001121521
1,0,0,0.30396032333374
1,1,0,0.39094877243042
1,0,1,0.355209350585938
1,1,1,0.358101844787598
0.5,0,0,0.102051019668579
0.5,0.5,0,0.114403963088989
0.5,1,0,0.239619493484497
0.5,1.5,0,0.336594820022583
0.5,0,0.5,0.194314479827881
0.5,0.5,0.5,0.2755126953125
0.5,1,0.5,0.213563203811646
0.5,1.5,0.5,0.341322660446167
0.5,0,1,0.285061836242676
0.5,0.5,1,0.316002368927002
0.5,1,1,0.257602214813232
0.5,1.5,1,0.298599720001221
0.5,0,1.5,0.110305547714233
0.5,0.5,1.5,0.13184118270874
0.5,1,1.5,0.23356556892395
0.5,1.5,1.5,0.311399698257446
0.25,0,0,0.0485265254974365
0.25,0.25,0,0.0804123878479004
0.25,0.5,0,0.0670101642608643
0.25,0.75,0,0.0634911060333252
0.25,1,0,0.0479412078857422
0.25,1.25,0,0.189802408218384
0.25,1.5,0,0.30653190612793
0.25,1.75,0,0.229500532150269
0.25,0,0.25,0.0800323486328125
0.25,0.25,0.25,0.0570297241210938
0.25,0.5,0.25,0.0797874927520752
0.25,0.75,0.25,0.087662935256958
0.25,1,0.25,0.0703837871551514
0.25,1.25,0.25,0.106254100799561
0.25,1.5,0.25,0.171005010604858
0.25,1.75,0.25,0.136531829833984
0.25,0,0.5,0.111496686935425
0.25,0.25,0.5,0.10132908821106
0.25,0.5,0.5,0.126502752304077
0.25,0.75,0.5,0.105207681655884
0.25,1,0.5,0.0947103500366211
0.25,1.25,0.5,0.0775623321533203
0.25,1.5,0.5,0.103628158569336
0.25,1.75,0.5,0.117482662200928
0.25,0,0.75,0.0885767936706543
0.25,0.25,0.75,0.172856569290161
0.25,0.5,0.75,0.244824886322021
0.25,0.75,0.75,0.139696598052979
0.25,1,0.75,0.144019842147827
0.25,1.25,0.75,0.172376155853271
0.25,1.5,0.75,0.251448631286621
0.25,1.75,0.75,0.281029224395752
0.25,0,1,0.256811141967773
0.25,0.25,1,0.252996444702148
0.25,0.5,1,0.279020071029663
0.25,0.75,1,0.0746960639953613
0.25,1,1,0.0559828281402588
0.25,1.25,1,0.257602214813232
0.25,1.5,1,0.252074718475342
0.25,1.75,1,0.233396053314209
0.25,0,1.25,0.0481867790222168
0.25,0.25,1.25,0.266119718551636
0.25,0.5,1.25,0.0766384601593018
0.25,0.75,1.25,0.0492854118347168
0.25,1,1.25,0.0545237064361572
0.25,1.25,1.25,0.159162998199463
0.25,1.5,1.25,0.264337062835693
0.25,1.75,1.25,0.189809560775757
0.25,0,1.5,0.0726490020751953
0.25,0.25,1.5,0.0724825859069824
0.25,0.5,1.5,0.0506947040557861
0.25,0.75,1.5,0.112675905227661
0.25,1,1.5,0.0725433826446533
0.25,1.25,1.5,0.119944095611572
0.25,1.5,1.5,0.263375759124756
0.25,1.75,1.5,0.302206039428711
0.25,0,1.75,0.0669660568237305
0.25,0.25,1.75,0.0558300018310547
0.25,0.5,1.75,0.091909646987915
0.25,0.75,1.75,0.122297763824463
0.25,1,1.75,0.0346982479095459
0.25,1.25,1.75,0.209084987640381
0.25,1.5,1.75,0.277483701705933
0.25,1.75,1.75,0.2763831615448
0.125,0,0,0.0279281139373779
0.125,0.125,0,0.0332276821136475
0.125,0.25,0,0.0646166801452637
0.125,0.375,0,0.0555894374847412
0.125,0.5,0,0.0492033958435059
0.125,0.625,0,0.04231858253479
0.125,0.75,0,0.0322046279907227
0.125,0.875,0,0.0264208316802979
0.125,1,0,0.0322670936584473
0.125,1.125,0,0.0355658531188965
0.125,1.25,0,0.0399858951568604
0.125,1.375,0,0.161685705184937
0.125,1.5,0,0.185802698135376
0.125,1.625,0,0.21374249458313
0.125,1.75,0,0.191116571426392
0.125,1.875,0,0.0376570224761963
0.125,0,0.125,0.0382082462310791
0.125,0.125,0.125,0.0477492809295654
0.125,0.25,0.125,0.0519187450408936
0.125,0.375,0.125,0.0241351127624512
0.125,0.5,0.125,0.0443952083587646
0.125,0.625,0.125,0.0593297481536865
0.125,0.75,0.125,0.0395004749298096
0.125,0.875,0.125,0.0237069129943848
0.125,1,0.125,0.0277204513549805
0.125,1.125,0.125,0.0282049179077148
0.125,1.25,0.125,0.0639667510986328
0.125,1.375,0.125,0.0920445919036865
0.125,1.5,0.125,0.144366502761841
0.125,1.625,0.125,0.21054744720459
0.125,1.75,0.125,0.229063272476196
0.125,1.875,0.125,0.0621426105499268
0.125,0,0.25,0.0214123725891113
0.125,0.125,0.25,0.0588593482971191
0.125,0.25,0.25,0.0402524471282959
0.125,0.375,0.25,0.0490586757659912
0.125,0.5,0.25,0.0245301723480225
0.125,0.625,0.25,0.067988395690918
0.125,0.75,0.25,0.0700662136077881
0.125,0.875,0.25,0.0431945323944092
0.125,1,0.25,0.0254967212677002
0.125,1.125,0.25,0.0435566902160645
0.125,1.25,0.25,0.0929872989654541
0.125,1.375,0.25,0.0975003242492676
0.125,1.5,0.25,0.136253118515015
0.125,1.625,0.25,0.0635068416595459
0.125,1.75,0.25,0.04669189453125
0.125,1.875,0.25,0.105605363845825
0.125,0,0.375,0.0401108264923096
0.125,0.125,0.375,0.0603916645050049
0.125,0.25,0.375,0.0556128025054932
0.125,0.375,0.375,0.0481321811676025
0.125,0.5,0.375,0.019005298614502
0.125,0.625,0.375,0.0334312915802002
0.125,0.75,0.375,0.0576865673065186
0.125,0.875,0.375,0.0503113269805908
0.125,1,0.375,0.0420012474060059
0.125,1.125,0.375,0.0450162887573242
0.125,1.25,0.375,0.0296359062194824
0.125,1.375,0.375,0.0157740116119385
0.125,1.5,0.375,0.0197069644927979
0.125,1.625,0.375,0.0386664867401123
0.125,1.75,0.375,0.0300595760345459
