"L0","x","y","H0"
2,0,0,0.520791053771973
1,0,0,0.473825693130493
1,1,0,0.469081163406372
1,0,1,0.425221681594849
1,1,1,0.501738309860229
0.5,0,0,0.195394515991211
0.5,0.5,0,0.446012496948242
0.5,1,0,0.458245992660522
0.5,1.5,0,0.241611003875732
0.5,0,0.5,0.199084520339966
0.5,0.5,0.5,0.3548743724823
0.5,1,0.5,0.355811834335327
0.5,1.5,0.5,0.265064716339111
0.5,0,1,0.256108045578003
0.5,0.5,1,0.334959506988525
0.5,1,1,0.290934801101685
0.5,1.5,1,0.338726043701172
0.5,0,1.5,0.215287923812866
0.5,0.5,1.5,0.381407022476196
0.5,1,1.5,0.492937088012695
0.5,1.5,1.5,0.433961153030396
0.25,0,0,0.151336193084717
0.25,0.25,0,0.131037950515747
0.25,0.5,0,0.160886287689209
0.25,0.75,0,0.394591331481934
0.25,1,0,0.458245992660522
0.25,1.25,0,0.353366613388062
0.25,1.5,0,0.187558174133301
0.25,1.75,0,0.192841768264771
0.25,0,0.25,0.0756335258483887
0.25,0.25,0.25,0.0723812580108643
0.25,0.5,0.25,0.0840363502502441
0.25,0.75,0.25,0.356665134429932
0.25,1,0.25,0.162937879562378
0.25,1.25,0.25,0.317990064620972
0.25,1.5,0.25,0.180749177932739
0.25,1.75,0.25,0.196733236312866
0.25,0,0.5,0.190585136413574
0.25,0.25,0.5,0.0495057106018066
0.25,0.5,0.5,0.080543041229248
0.25,0.75,0.5,0.337301254272461
0.25,1,0.5,0.195288181304932
0.25,1.25,0.5,0.253402948379517
0.25,1.5,0.5,0.214728116989136
0.25,1.75,0.5,0.122756004333496
0.25,0,0.75,0.185176134109497
0.25,0.25,0.75,0.0496704578399658
0.25,0.5,0.75,0.0984222888946533
0.25,0.75,0.75,0.348181247711182
0.25,1,0.75,0.238182306289673
0.25,1.25,0.75,0.217989444732666
0.25,1.5,0.75,0.242671489715576
0.25,1.75,0.75,0.223078966140747
0.25,0,1,0.217380285263062
0.25,0.25,1,0.157255411148071
0.25,0.5,1,0.278575658798218
0.25,0.75,1,0.26554012298584
0.25,1,1,0.160918951034546
0.25,1.25,1,0.187478303909302
0.25,1.5,1,0.0767216682434082
0.25,1.75,1,0.150196075439453
0.25,0,1.25,0.150531053543091
0.25,0.25,1.25,0.124046087265015
0.25,0.5,1.25,0.244066715240479
0.25,0.75,1.25,0.146154642105103
0.25,1,1.25,0.162316083908081
0.25,1.25,1.25,0.285984039306641
0.25,1.5,1.25,0.306306600570679
0.25,1.75,1.25,0.244934797286987
0.25,0,1.5,0.13850212097168
0.25,0.25,1.5,0.187366962432861
0.25,0.5,1.5,0.257223844528198
0.25,0.75,1.5,0.227696418762207
0.25,1,1.5,0.188088417053223
0.25,1.25,1.5,0.241621494293213
0.25,1.5,1.5,0.354478120803833
0.25,1.75,1.5,0.266388416290283
0.25,0,1.75,0.101639032363892
0.25,0.25,1.75,0.0973095893859863
0.25,0.5,1.75,0.270156860351562
0.25,0.75,1.75,0.316732406616211
0.25,1,1.75,0.452347755432129
0.25,1.25,1.75,0.353013038635254
0.25,1.5,1.75,0.210577964782715
0.25,1.75,1.75,0.366511583328247
0.125,0,0,0.0509634017944336
0.125,0.125,0,0.12155556678772
0.125,0.25,0,0.0989041328430176
0.125,0.375,0,0.0530276298522949
0.125,0.5,0,0.119543313980103
0.125,0.625,0,0.109432220458984
0.125,0.75,0,0.129498958587646
0.125,0.875,0,0.0987429618835449
0.125,1,0,0.122066974639893
0.125,1.125,0,0.0294539928436279
0.125,1.25,0,0.0245604515075684
0.125,1.375,0,0.0337052345275879
0.125,1.5,0,0.0572738647460938
0.125,1.625,0,0.181059837341309
0.125,1.75,0,0.165405035018921
0.125,1.875,0,0.135416984558105
0.125,0,0.125,0.149763345718384
0.125,0.125,0.125,0.120898246765137
0.125,0.25,0.125,0.0224740505218506
0.125,0.375,0.125,0.0796811580657959
0.125,0.5,0.125,0.112577199935913
0.125,0.625,0.125,0.0735201835632324
0.125,0.75,0.125,0.322227716445923
0.125,0.875,0.125,0.348514795303345
0.125,1,0.125,0.404739141464233
0.125,1.125,0.125,0.353525400161743
0.125,1.25,0.125,0.33687424659729
0.125,1.375,0.125,0.130935192108154
0.125,1.5,0.125,0.161413908004761
0.125,1.625,0.125,0.174921751022339
0.125,1.75,0.125,0.152112722396851
0.125,1.875,0.125,0.0912952423095703
0.125,0,0.25,0.0636222362518311
0.125,0.125,0.25,0.0502307415008545
0.125,0.25,0.25,0.0506923198699951
0.125,0.375,0.25,0.0459220409393311
0.125,0.5,0.25,0.0354180335998535
0.125,0.625,0.25,0.0600028038024902
0.125,0.75,0.25,0.335362672805786
