"L0","x","y","H0"
2,0,0,0.547519683837891
1,0,0,0.409376382827759
1,1,0,0.447942972183228
1,0,1,0.334505319595337
1,1,1,0.533641815185547
0.5,0,0,0.245185613632202
0.5,0.5,0,0.316450595855713
0.5,1,0,0.257221460342407
0.5,1.5,0,0.296539306640625
0.5,0,0.5,0.283153295516968
0.5,0.5,0.5,0.409376382827759
0.5,1,0.5,0.388923406600952
0.5,1.5,0.5,0.322440624237061
0.5,0,1,0.279438734054565
0.5,0.5,1,0.203404903411865
0.5,1,1,0.42984676361084
0.5,1.5,1,0.296842813491821
0.5,0,1.5,0.268666744232178
0.5,0.5,1.5,0.266775369644165
0.5,1,1.5,0.308801174163818
0.5,1.5,1.5,0.401161193847656
0.25,0,0,0.141999244689941
0.25,0.25,0,0.159541845321655
0.25,0.5,0,0.129323720932007
0.25,0.75,0,0.294028997421265
0.25,1,0,0.243743181228638
0.25,1.25,0,0.254431962966919
0.25,1.5,0,0.284559488296509
0.25,1.75,0,0.189004182815552
0.25,0,0.25,0.13162899017334
0.25,0.25,0.25,0.190929651260376
0.25,0.5,0.25,0.209613800048828
0.25,0.75,0.25,0.29631519317627
0.25,1,0.25,0.242173671722412
0.25,1.25,0.25,0.251734972000122
0.25,1.5,0.25,0.160808563232422
0.25,1.75,0.25,0.230096101760864
0.25,0,0.5,0.0895023345947266
0.25,0.25,0.5,0.265165328979492
0.25,0.5,0.5,0.335759401321411
0.25,0.75,0.5,0.387209892272949
0.25,1,0.5,0.273256540298462
0.25,1.25,0.5,0.272822618484497
0.25,1.5,0.5,0.0805037021636963
0.25,1.75,0.5,0.227391004562378
0.25,0,0.75,0.13867712020874
0.25,0.25,0.75,0.242504835128784
0.25,0.5,0.75,0.0307085514068604
0.25,0.75,0.75,0.384290933609009
0.25,1,0.75,0.380964279174805
0.25,1.25,0.75,0.323202133178711
0.25,1.5,0.75,0.200403451919556
0.25,1.75,0.75,0.192595720291138
0.25,0,1,0.246231317520142
0.25,0.25,1,0.0906991958618164
0.25,0.5,1,0.0234274864196777
0.25,0.75,1,0.0472793579101562
0.25,1,1,0.0720219612121582
0.25,1.25,1,0.289118528366089
0.25,1.5,1,0.120289087295532
0.25,1.75,1,0.174689054489136
0.25,0,1.25,0.276841402053833
0.25,0.25,1.25,0.186315774917603
0.25,0.5,1.25,0.192671537399292
0.25,0.75,1.25,0.197146892547607
0.25,1,1.25,0.284932374954224
0.25,1.25,1.25,0.354590654373169
0.25,1.5,1.25,0.296842813491821
0.25,1.75,1.25,0.260668516159058
0.25,0,1.5,0.246294736862183
0.25,0.25,1.5,0.234143495559692
0.25,0.5,1.5,0.215873956680298
0.25,0.75,1.5,0.266775369644165
0.25,1,1.5,0.192381143569946
0.25,1.25,1.5,0.262726306915283
0.25,1.5,1.5,0.366559982299805
0.25,1.75,1.5,0.383100509643555
0.25,0,1.75,0.238090991973877
0.25,0.25,1.75,0.140016078948975
0.25,0.5,1.75,0.12003755569458
0.25,0.75,1.75,0.150794982910156
0.25,1,1.75,0.183013439178467
0.25,1.25,1.75,0.198332071304321
0.25,1.5,1.75,0.273694515228271
0.25,1.75,1.75,0.202517986297607
0.125,0,0,0.118001222610474
0.125,0.125,0,0.114707946777344
0.125,0.25,0,0.0962176322937012
0.125,0.375,0,0.139846324920654
0.125,0.5,0,0.0770354270935059
0.125,0.625,0,0.0946297645568848
0.125,0.75,0,0.0645735263824463
0.125,0.875,0,0.0712828636169434
0.125,1,0,0.234082460403442
0.125,1.125,0,0.0284032821655273
0.125,1.25,0,0.0340511798858643
0.125,1.375,0,0.0812919139862061
0.125,1.5,0,0.154318332672119
0.125,1.625,0,0.198928356170654
0.125,1.75,0,0.0944037437438965
0.125,1.875,0,0.132266521453857
0.125,0,0.125,0.13182258605957
0.125,0.125,0.125,0.0941452980041504
0.125,0.25,0.125,0.0916779041290283
0.125,0.375,0.125,0.0908329486846924
0.125,0.5,0.125,0.0934457778930664
0.125,0.625,0.125,0.0692386627197266
0.125,0.75,0.125,0.0694665908813477
0.125,0.875,0.125,0.268106460571289
0.125,1,0.125,0.201539754867554
0.125,1.125,0.125,0.0239613056182861
0.125,1.25,0.125,0.16536545753479
0.125,1.375,0.125,0.252101421356201
0.125,1.5,0.125,0.143826484680176
0.125,1.625,0.125,0.140265226364136
0.125,1.75,0.125,0.171527862548828
0.125,1.875,0.125,0.0568432807922363
0.125,0,0.25,0.0576441287994385
0.125,0.125,0.25,0.100257396697998
0.125,0.25,0.25,0.135231733322144
0.125,0.375,0.25,0.0601203441619873
0.125,0.5,0.25,0.120287656784058
0.125,0.625,0.25,0.112558126449585
0.125,0.75,0.25,0.112957239151001
0.125,0.875,0.25,0.265546083450317
0.125,1,0.25,0.242173671722412
0.125,1.125,0.25,0.0637152194976807
0.125,1.25,0.25,0.15685248374939
0.125,1.375,0.25,0.153683662414551
0.125,1.5,0.25,0.089327335357666
0.125,1.625,0.25,0.127573728561401
0.125,1.75,0.25,0.214755296707153
0.125,1.875,0.25,0.0630216598510742
0.125,0,0.375,0.0632421970367432
0.125,0.125,0.375,0.0667781829833984
0.125,0.25,0.375,0.0945794582366943
0.125,0.375,0.375,0.0863878726959229
0.125,0.5,0.375,0.100240707397461
0.125,0.625,0.375,0.114020824432373
0.125,0.75,0.375,0.139739274978638
0.125,0.875,0.375,0.223352670669556
0.125,1,0.375,0.155486106872559
0.125,1.125,0.375,0.0927765369415283
0.125,1.25,0.375,0.100748300552368
0.125,1.375,0.375,0.148233890533447
0.125,1.5,0.375,0.0884017944335938
0.125,1.625,0.375,0.153735876083374
0.125,1.75,0.375,0.227509498596191
0.125,1.875,0.375,0.0624947547912598
0.125,0,0.5,0.0607316493988037
0.125,0.125,0.5,0.0846216678619385
0.125,0.25,0.5,0.147844314575195
0.125,0.375,0.5,0.0689845085144043
0.125,0.5,0.5,0.0921871662139893
0.125,0.625,0.5,0.22785496711731
0.125,0.75,0.5,0.171978712081909
0.125,0.875,0.5,0.149556875228882
0.125,1,0.5,0.19099760055542
0.125,1.125,0.5,0.21182107925415
0.125,1.25,0.5,0.176279306411743
0.125,1.375,0.5,0.0660719871520996
0.125,1.5,0.5,0.0404667854309082
0.125,1.625,0.5,0.0693228244781494
0.125,1.75,0.5,0.092275857925415
0.125,1.875,0.5,0.0365080833435059
0.125,0,0.625,0.0681192874908447
0.125,0.125,0.625,0.0820879936218262
0.125,0.25,0.625,0.185814619064331
0.125,0.375,0.625,0.168699741363525
0.125,0.5,0.625,0.224140167236328
0.125,0.625,0.625,0.202215671539307
0.125,0.75,0.625,0.355448246002197
0.125,0.875,0.625,0.147026062011719
0.125,1,0.625,0.0514371395111084
0.125,1.125,0.625,0.184767723083496
0.125,1.25,0.625,0.236790418624878
0.125,1.375,0.625,0.0960283279418945
0.125,1.5,0.625,0.0690445899963379
0.125,1.625,0.625,0.0509581565856934
0.125,1.75,0.625,0.115058898925781
0.125,1.875,0.625,0.223024129867554
0.125,0,0.75,0.0843241214752197
0.125,0.125,0.75,0.0956876277923584
0.125,0.25,0.75,0.151010513305664
0.125,0.375,0.75,0.143499374389648
