"L0","x","y","H0"
2,0,0,0.879639148712158
1,0,0,0.202078104019165
1,1,0,0.528716802597046
1,0,1,0.429473638534546
1,1,1,0.631504774093628
0.5,0,0,0.0547189712524414
0.5,0.5,0,0.170418500900269
0.5,1,0,0.170997858047485
0.5,1.5,0,0.414034605026245
0.5,0,0.5,0.151390314102173
0.5,0.5,0.5,0.138742923736572
0.5,1,0.5,0.321237802505493
0.5,1.5,0.5,0.327778100967407
0.5,0,1,0.306082487106323
0.5,0.5,1,0.234896898269653
0.5,1,1,0.356372594833374
0.5,1.5,1,0.353304386138916
0.5,0,1.5,0.402880668640137
0.5,0.5,1.5,0.349315643310547
0.5,1,1.5,0.252179145812988
0.5,1.5,1.5,0.351027965545654
0.25,0,0,0.0502192974090576
0.25,0.25,0,0.0308220386505127
0.25,0.5,0,0.0566229820251465
0.25,0.75,0,0.124578475952148
0.25,1,0,0.0595571994781494
0.25,1.25,0,0.110121011734009
0.25,1.5,0,0.137344598770142
0.25,1.75,0,0.291711568832397
0.25,0,0.25,0.02223801612854
0.25,0.25,0.25,0.0263872146606445
0.25,0.5,0.25,0.0499954223632812
0.25,0.75,0.25,0.159771919250488
0.25,1,0.25,0.099614143371582
0.25,1.25,0.25,0.130711555480957
0.25,1.5,0.25,0.205108880996704
0.25,1.75,0.25,0.295639753341675
0.25,0,0.5,0.0473077297210693
0.25,0.25,0.5,0.0482418537139893
0.25,0.5,0.5,0.0275132656097412
0.25,0.75,0.5,0.0820620059967041
0.25,1,0.5,0.128973007202148
0.25,1.25,0.5,0.18142294883728
0.25,1.5,0.5,0.149738073348999
0.25,1.75,0.5,0.248885631561279
0.25,0,0.75,0.137325048446655
0.25,0.25,0.75,0.10577392578125
0.25,0.5,0.75,0.138742923736572
0.25,0.75,0.75,0.119312524795532
0.25,1,0.75,0.182713747024536
0.25,1.25,0.75,0.206918716430664
0.25,1.5,0.75,0.0944139957427979
0.25,1.75,0.75,0.145942211151123
0.25,0,1,0.221701145172119
0.25,0.25,1,0.186771154403687
0.25,0.5,1,0.100296497344971
0.25,0.75,1,0.129929065704346
0.25,1,1,0.225988864898682
0.25,1.25,1,0.165981531143188
0.25,1.5,1,0.0954225063323975
0.25,1.75,1,0.0726492404937744
0.25,0,1.25,0.272436618804932
