"L0","x","y","H0"
2,0,0,1.13269090652466
1,0,0,0.83529257774353
1,1,0,1.02452445030212
1,0,1,1.02365970611572
1,1,1,1.06644439697266
0.5,0,0,0.784386396408081
0.5,0.5,0,0.726805925369263
0.5,1,0,0.705172538757324
0.5,1.5,0,0.86271071434021
0.5,0,0.5,0.786746501922607
0.5,0.5,0.5,0.409393548965454
0.5,1,0.5,0.701665878295898
0.5,1.5,0.5,0.576159000396729
0.5,0,1,0.83594536781311
0.5,0.5,1,0.789952754974365
0.5,1,1,0.988994598388672
0.5,1.5,1,0.537611722946167
0.5,0,1.5,0.456003189086914
0.5,0.5,1.5,0.978209018707275
0.5,1,1.5,0.908135652542114
0.5,1.5,1.5,0.946820497512817
0.25,0,0,0.713030099868774
0.25,0.25,0,0.784386396408081
0.25,0.5,0,0.636992692947388
0.25,0.75,0,0.522668123245239
0.25,1,0,0.350658893585205
0.25,1.25,0,0.402792930603027
0.25,1.5,0,0.235442876815796
0.25,1.75,0,0.408830881118774
0.25,0,0.25,0.681021213531494
0.25,0.25,0.25,0.199401140213013
0.25,0.5,0.25,0.210834741592407
0.25,0.75,0.25,0.538836717605591
0.25,1,0.25,0.431341886520386
0.25,1.25,0.25,0.539208173751831
0.25,1.5,0.25,0.773932456970215
0.25,1.75,0.25,0.769203186035156
0.25,0,0.5,0.593422412872314
0.25,0.25,0.5,0.522209644317627
0.25,0.5,0.5,0.199946165084839
0.25,0.75,0.5,0.364992618560791
0.25,1,0.5,0.590642213821411
0.25,1.25,0.5,0.249274015426636
0.25,1.5,0.5,0.155510187149048
0.25,1.75,0.5,0.337120294570923
0.25,0,0.75,0.739530563354492
0.25,0.25,0.75,0.349362850189209
0.25,0.5,0.75,0.29462742805481
0.25,0.75,0.75,0.291077852249146
0.25,1,0.75,0.435563087463379
0.25,1.25,0.75,0.504790067672729
0.25,1.5,0.75,0.242593050003052
0.25,1.75,0.75,0.576159000396729
0.25,0,1,0.829639196395874
0.25,0.25,1,0.702455043792725
0.25,0.5,1,0.325012922286987
0.25,0.75,1,0.539230346679688
0.25,1,1,0.254591226577759
0.25,1.25,1,0.418997764587402
0.25,1.5,1,0.463140726089478
0.25,1.75,1,0.531664371490479
0.25,0,1.25,0.128121614456177
0.25,0.25,1.25,0.801264762878418
0.25,0.5,1.25,0.378848075866699
0.25,0.75,1.25,0.629713535308838
0.25,1,1.25,0.89746356010437
0.25,1.25,1.25,0.304492950439453
0.25,1.5,1.25,0.339532852172852
0.25,1.75,1.25,0.221716642379761
0.25,0,1.5,0.0715169906616211
0.25,0.25,1.5,0.456003189086914
0.25,0.5,1.5,0.756702423095703
0.25,0.75,1.5,0.896790742874146
0.25,1,1.5,0.887615442276001
0.25,1.25,1.5,0.56032657623291
0.25,1.5,1.5,0.326024293899536
0.25,1.75,1.5,0.818377017974854
0.25,0,1.75,0.0768959522247314
0.25,0.25,1.75,0.045095682144165
0.25,0.5,1.75,0.320377111434937
0.25,0.75,1.75,0.687037229537964
0.25,1,1.75,0.597634792327881
0.25,1.25,1.75,0.597103834152222
0.25,1.5,1.75,0.810643672943115
0.25,1.75,1.75,0.676196813583374
0.125,0,0,0.0515120029449463
0.125,0.125,0,0.241290330886841
0.125,0.25,0,0.784386396408081
0.125,0.375,0,0.610790252685547
0.125,0.5,0,0.63651180267334
0.125,0.625,0,0.0963294506072998
0.125,0.75,0,0.229314565658569
0.125,0.875,0,0.481226205825806
0.125,1,0,0.202453374862671
0.125,1.125,0,0.0831212997436523
0.125,1.25,0,0.159782648086548
0.125,1.375,0,0.206045389175415
0.125,1.5,0,0.107272624969482
0.125,1.625,0,0.180663824081421
0.125,1.75,0,0.135202646255493
0.125,1.875,0,0.0635614395141602
0.125,0,0.125,0.145532846450806
0.125,0.125,0.125,0.658395767211914
0.125,0.25,0.125,0.591038703918457
0.125,0.375,0.125,0.103497266769409
0.125,0.5,0.125,0.636525630950928
0.125,0.625,0.125,0.41188383102417
0.125,0.75,0.125,0.497045516967773
0.125,0.875,0.125,0.40189003944397
0.125,1,0.125,0.15061616897583
0.125,1.125,0.125,0.178280115127563
0.125,1.25,0.125,0.212394952774048
0.125,1.375,0.125,0.273220300674438
0.125,1.5,0.125,0.235442876815796
0.125,1.625,0.125,0.163296699523926
0.125,1.75,0.125,0.299275636672974
0.125,1.875,0.125,0.408830881118774
0.125,0,0.25,0.205817699432373
0.125,0.125,0.25,0.642727613449097
0.125,0.25,0.25,0.0738859176635742
0.125,0.375,0.25,0.0883634090423584
0.125,0.5,0.25,0.19073224067688
0.125,0.625,0.25,0.174092292785645
0.125,0.75,0.25,0.532100439071655
0.125,0.875,0.25,0.360530138015747
0.125,1,0.25,0.151298046112061
0.125,1.125,0.25,0.14186692237854
0.125,1.25,0.25,0.0612075328826904
0.125,1.375,0.25,0.317116022109985
0.125,1.5,0.25,0.603812694549561
0.125,1.625,0.25,0.512238502502441
0.125,1.75,0.25,0.193066835403442
0.125,1.875,0.25,0.484954118728638
0.125,0,0.375,0.204591989517212
0.125,0.125,0.375,0.615232706069946
0.125,0.25,0.375,0.15684986114502
0.125,0.375,0.375,0.154020071029663
0.125,0.5,0.375,0.16244101524353
0.125,0.625,0.375,0.12835168838501
0.125,0.75,0.375,0.167923927307129
0.125,0.875,0.375,0.121209621429443
0.125,1,0.375,0.248120784759521
0.125,1.125,0.375,0.431341886520386
0.125,1.25,0.375,0.255208969116211
0.125,1.375,0.375,0.464869976043701
0.125,1.5,0.375,0.224536418914795
0.125,1.625,0.375,0.329196453094482
0.125,1.75,0.375,0.327912569046021
0.125,1.875,0.375,0.0693497657775879
0.125,0,0.5,0.292947769165039
0.125,0.125,0.5,0.585890293121338
0.125,0.25,0.5,0.522209644317627
0.125,0.375,0.5,0.213863849639893
0.125,0.5,0.5,0.19273829460144
0.125,0.625,0.5,0.055084228515625
0.125,0.75,0.5,0.0825250148773193
0.125,0.875,0.5,0.364992618560791
0.125,1,0.5,0.474733352661133
0.125,1.125,0.5,0.158034324645996
0.125,1.25,0.5,0.144689321517944
0.125,1.375,0.5,0.214045763015747
0.125,1.5,0.5,0.0950298309326172
0.125,1.625,0.5,0.0887949466705322
0.125,1.75,0.5,0.316537618637085
0.125,1.875,0.5,0.131385564804077
0.125,0,0.625,0.252588033676147
0.125,0.125,0.625,0.152551412582397
0.125,0.25,0.625,0.244732618331909
0.125,0.375,0.625,0.103969812393188
0.125,0.5,0.625,0.117181539535522
0.125,0.625,0.625,0.0399918556213379
0.125,0.75,0.625,0.0745975971221924
0.125,0.875,0.625,0.235112190246582
0.125,1,0.625,0.415058851242065
0.125,1.125,0.625,0.438291311264038
0.125,1.25,0.625,0.155790090560913
0.125,1.375,0.625,0.133861541748047
0.125,1.5,0.625,0.130261421203613
0.125,1.625,0.625,0.132178783416748
0.125,1.75,0.625,0.198601007461548
0.125,1.875,0.625,0.229211091995239
0.125,0,0.75,0.482587575912476
0.125,0.125,0.75,0.363131761550903
0.125,0.25,0.75,0.284545660018921
0.125,0.375,0.75,0.308730363845825
0.125,0.5,0.75,0.154660224914551
0.125,0.625,0.75,0.111600399017334
0.125,0.75,0.75,0.109408855438232
0.125,0.875,0.75,0.174426555633545
0.125,1,0.75,0.233969211578369
0.125,1.125,0.75,0.32334303855896
0.125,1.25,0.75,0.46271276473999
0.125,1.375,0.75,0.162769794464111
0.125,1.5,0.75,0.186424493789673
0.125,1.625,0.75,0.242593050003052
0.125,1.75,0.75,0.178051948547363
0.125,1.875,0.75,0.2213454246521
0.125,0,0.875,0.370277881622314
0.125,0.125,0.875,0.618579387664795
0.125,0.25,0.875,0.166344881057739
0.125,0.375,0.875,0.248607635498047
0.125,0.5,0.875,0.291945457458496
0.125,0.625,0.875,0.147072315216064
0.125,0.75,0.875,0.117131948471069
0.125,0.875,0.875,0.279297590255737
0.125,1,0.875,0.0654175281524658
0.125,1.125,0.875,0.285507917404175
0.125,1.25,0.875,0.331947326660156
0.125,1.375,0.875,0.177977561950684
0.125,1.5,0.875,0.145827054977417
0.125,1.625,0.875,0.0665936470031738
0.125,1.75,0.875,0.338035583496094
0.125,1.875,0.875,0.367156982421875
0.125,0,1,0.166072607040405
0.125,0.125,1,0.694812059402466
0.125,0.25,1,0.236255168914795
0.125,0.375,1,0.0470409393310547
0.125,0.5,1,0.216411113739014
0.125,0.625,1,0.21490216255188
0.125,0.75,1,0.522841215133667
0.125,0.875,1,0.157049179077148
0.125,1,1,0.0499651432037354
0.125,1.125,1,0.192291975021362
0.125,1.25,1,0.268682479858398
0.125,1.375,1,0.385112285614014
0.125,1.5,1,0.347004890441895
0.125,1.625,1,0.463140726089478
0.125,1.75,1,0.461870431900024
0.125,1.875,1,0.342715501785278
0.125,0,1.125,0.130963802337646
0.125,0.125,1.125,0.503874778747559
0.125,0.25,1.125,0.57306957244873
0.125,0.375,1.125,0.387356758117676
0.125,0.5,1.125,0.17228889465332
0.125,0.625,1.125,0.182017803192139
0.125,0.75,1.125,0.503370523452759
0.125,0.875,1.125,0.533940076828003
0.125,1,1.125,0.0853550434112549
0.125,1.125,1.125,0.092909574508667
0.125,1.25,1.125,0.124941349029541
0.125,1.375,1.125,0.265338659286499
0.125,1.5,1.125,0.242700576782227
0.125,1.625,1.125,0.110846996307373
0.125,1.75,1.125,0.08634352684021
0.125,1.875,1.125,0.139456987380981
0.125,0,1.25,0.0496253967285156
0.125,0.125,1.25,0.121011018753052
0.125,0.25,1.25,0.240579128265381
0.125,0.375,1.25,0.657345294952393
0.125,0.5,1.25,0.187511205673218
0.125,0.625,1.25,0.169443607330322
0.125,0.75,1.25,0.150911808013916
0.125,0.875,1.25,0.61879301071167
0.125,1,1.25,0.676281213760376
0.125,1.125,1.25,0.166079759597778
0.125,1.25,1.25,0.177967309951782
0.125,1.375,1.25,0.0958874225616455
0.125,1.5,1.25,0.0269911289215088
0.125,1.625,1.25,0.0364537239074707
0.125,1.75,1.25,0.0530359745025635
0.125,1.875,1.25,0.0808234214782715
0.125,0,1.375,0.031198263168335
0.125,0.125,1.375,0.0280182361602783
0.125,0.25,1.375,0.135324478149414
0.125,0.375,1.375,0.750104188919067
0.125,0.5,1.375,0.373188734054565
0.125,0.625,1.375,0.0670199394226074
0.125,0.75,1.375,0.124502182006836
0.125,0.875,1.375,0.433544635772705
0.125,1,1.375,0.895527362823486
0.125,1.125,1.375,0.208685398101807
0.125,1.25,1.375,0.197577238082886
0.125,1.375,1.375,0.132007837295532
0.125,1.5,1.375,0.301610708236694
0.125,1.625,1.375,0.339532852172852
0.125,1.75,1.375,0.16405725479126
0.125,1.875,1.375,0.167358636856079
0.125,0,1.5,0.0226635932922363
