"L0","x","y","H0"
2,0,0,0.67034387588501
1,0,0,0.477297782897949
1,1,0,0.502353668212891
1,0,1,0.665284872055054
1,1,1,0.63992166519165
0.5,0,0,0.374718427658081
0.5,0.5,0,0.407752513885498
0.5,1,0,0.3376305103302
0.5,1.5,0,0.366785764694214
0.5,0,0.5,0.3098464012146
0.5,0.5,0.5,0.473666191101074
0.5,1,0.5,0.369730472564697
0.5,1.5,0.5,0.387197494506836
0.5,0,1,0.53655743598938
0.5,0.5,1,0.573513984680176
0.5,1,1,0.605992555618286
0.5,1.5,1,0.45170783996582
0.5,0,1.5,0.268811702728271
0.5,0.5,1.5,0.636680841445923
0.5,1,1.5,0.534595012664795
0.5,1.5,1.5,0.603907823562622
0.25,0,0,0.255594730377197
0.25,0.25,0,0.374718427658081
0.25,0.5,0,0.407752513885498
0.25,0.75,0,0.318630456924438
0.25,1,0,0.3126380443573
0.25,1.25,0,0.291049957275391
0.25,1.5,0,0.286834716796875
0.25,1.75,0,0.219188690185547
0.25,0,0.25,0.178735017776489
0.25,0.25,0.25,0.227086782455444
0.25,0.5,0.25,0.364069700241089
0.25,0.75,0.25,0.358654022216797
0.25,1,0.25,0.286452770233154
0.25,1.25,0.25,0.285525798797607
0.25,1.5,0.25,0.279683113098145
0.25,1.75,0.25,0.340754985809326
0.25,0,0.5,0.243204355239868
0.25,0.25,0.5,0.206690788269043
0.25,0.5,0.5,0.280305862426758
0.25,0.75,0.5,0.347068786621094
0.25,1,0.5,0.223779201507568
0.25,1.25,0.5,0.302096366882324
0.25,1.5,0.5,0.282480239868164
0.25,1.75,0.5,0.248945236206055
0.25,0,0.75,0.266038656234741
0.25,0.25,0.75,0.305586814880371
0.25,0.5,0.75,0.459363698959351
0.25,0.75,0.75,0.466923236846924
0.25,1,0.75,0.250048637390137
0.25,1.25,0.75,0.246322154998779
0.25,1.5,0.75,0.319460868835449
0.25,1.75,0.75,0.252747297286987
0.25,0,1,0.323423624038696
0.25,0.25,1,0.324373006820679
0.25,0.5,1,0.462658405303955
0.25,0.75,1,0.538842439651489
0.25,1,1,0.361571311950684
0.25,1.25,1,0.179510116577148
0.25,1.5,1,0.331852674484253
0.25,1.75,1,0.434137344360352
0.25,0,1.25,0.198064804077148
0.25,0.25,1.25,0.53655743598938
0.25,0.5,1.25,0.504567384719849
0.25,0.75,1.25,0.509994029998779
0.25,1,1.25,0.528227806091309
0.25,1.25,1.25,0.334887504577637
0.25,1.5,1.25,0.286335706710815
0.25,1.75,1.25,0.442300081253052
0.25,0,1.5,0.162182331085205
0.25,0.25,1.5,0.253282308578491
0.25,0.5,1.5,0.380454301834106
0.25,0.75,1.5,0.546840906143188
0.25,1,1.5,0.534595012664795
0.25,1.25,1.5,0.2065110206604
0.25,1.5,1.5,0.213831424713135
0.25,1.75,1.5,0.564078807830811
0.25,0,1.75,0.16524600982666
0.25,0.25,1.75,0.177373170852661
0.25,0.5,1.75,0.30736231803894
0.25,0.75,1.75,0.463003396987915
0.25,1,1.75,0.3420569896698
0.25,1.25,1.75,0.204050540924072
0.25,1.5,1.75,0.179807901382446
0.25,1.75,1.75,0.594838380813599
0.125,0,0,0.219148874282837
0.125,0.125,0,0.143186330795288
0.125,0.25,0,0.142244338989258
0.125,0.375,0,0.236547946929932
0.125,0.5,0,0.219616174697876
0.125,0.625,0,0.254703760147095
0.125,0.75,0,0.259859561920166
0.125,0.875,0,0.0592215061187744
0.125,1,0,0.123032331466675
0.125,1.125,0,0.301547050476074
0.125,1.25,0,0.227845191955566
0.125,1.375,0,0.125579357147217
0.125,1.5,0,0.238981008529663
0.125,1.625,0,0.243604183197021
0.125,1.75,0,0.143483638763428
0.125,1.875,0,0.139628410339355
