"L0","x","y","H0"
2,0,0,1.0103554725647
1,0,0,0.639727830886841
1,1,0,0.918184995651245
1,0,1,0.918513774871826
1,1,1,0.947481870651245
0.5,0,0,0.167217493057251
0.5,0.5,0,0.231189966201782
0.5,1,0,0.440766572952271
0.5,1.5,0,0.415108680725098
0.5,0,0.5,0.298240661621094
0.5,0.5,0.5,0.442800998687744
0.5,1,0.5,0.670269250869751
0.5,1.5,0.5,0.738866806030273
0.5,0,1,0.24859094619751
0.5,0.5,1,0.710964202880859
0.5,1,1,0.335886716842651
0.5,1.5,1,0.856082201004028
0.5,0,1.5,0.231269836425781
0.5,0.5,1.5,0.678066492080688
0.5,1,1.5,0.589923858642578
0.5,1.5,1.5,0.800581455230713
0.25,0,0,0.123842716217041
0.25,0.25,0,0.0690648555755615
0.25,0.5,0,0.128868341445923
0.25,0.75,0,0.138972997665405
0.25,1,0,0.180751085281372
0.25,1.25,0,0.20579719543457
0.25,1.5,0,0.0945332050323486
0.25,1.75,0,0.169544219970703
0.25,0,0.25,0.137996673583984
0.25,0.25,0.25,0.0989367961883545
0.25,0.5,0.25,0.0804140567779541
0.25,0.75,0.25,0.112456083297729
0.25,1,0.25,0.284054040908813
0.25,1.25,0.25,0.271990060806274
0.25,1.5,0.25,0.281830072402954
0.25,1.75,0.25,0.167760848999023
0.25,0,0.5,0.220392942428589
0.25,0.25,0.5,0.0970234870910645
0.25,0.5,0.5,0.0932145118713379
0.25,0.75,0.5,0.217569589614868
0.25,1,0.5,0.504151105880737
0.25,1.25,0.5,0.358134746551514
0.25,1.5,0.5,0.523275852203369
0.25,1.75,0.5,0.374484539031982
0.25,0,0.75,0.17948055267334
0.25,0.25,0.75,0.155170679092407
0.25,0.5,0.75,0.108762979507446
0.25,0.75,0.75,0.427422046661377
0.25,1,0.75,0.484235525131226
0.25,1.25,0.75,0.17961859703064
0.25,1.5,0.75,0.372929811477661
0.25,1.75,0.75,0.555501699447632
0.25,0,1,0.119607210159302
0.25,0.25,1,0.147066116333008
0.25,0.5,1,0.110914707183838
0.25,0.75,1,0.595781803131104
0.25,1,1,0.308590650558472
0.25,1.25,1,0.0997841358184814
0.25,1.5,1,0.39715576171875
0.25,1.75,1,0.686301231384277
0.25,0,1.25,0.124670743942261
0.25,0.25,1.25,0.141498565673828
0.25,0.5,1.25,0.290308952331543
0.25,0.75,1.25,0.595225811004639
0.25,1,1.25,0.26738715171814
0.25,1.25,1.25,0.140764474868774
0.25,1.5,1.25,0.162293910980225
0.25,1.75,1.25,0.678734064102173
0.25,0,1.5,0.142493009567261
0.25,0.25,1.5,0.124811887741089
0.25,0.5,1.5,0.300187826156616
0.25,0.75,1.5,0.493679761886597
0.25,1,1.5,0.384609222412109
0.25,1.25,1.5,0.140632152557373
0.25,1.5,1.5,0.321816444396973
0.25,1.75,1.5,0.423827648162842
0.25,0,1.75,0.16333532333374
0.25,0.25,1.75,0.108158826828003
0.25,0.5,1.75,0.183938264846802
0.25,0.75,1.75,0.363123178482056
0.25,1,1.75,0.523964405059814
0.25,1.25,1.75,0.220532655715942
0.25,1.5,1.75,0.455273151397705
0.25,1.75,1.75,0.478052854537964
0.125,0,0,0.072345495223999
0.125,0.125,0,0.0561769008636475
0.125,0.25,0,0.0510542392730713
0.125,0.375,0,0.0469975471496582
0.125,0.5,0,0.0819704532623291
0.125,0.625,0,0.101012229919434
0.125,0.75,0,0.0740454196929932
0.125,0.875,0,0.0823078155517578
0.125,1,0,0.0844888687133789
0.125,1.125,0,0.135318756103516
0.125,1.25,0,0.14862585067749
0.125,1.375,0,0.0647637844085693
0.125,1.5,0,0.0357117652893066
0.125,1.625,0,0.0612249374389648
0.125,1.75,0,0.0949058532714844
0.125,1.875,0,0.1031334400177
0.125,0,0.125,0.0658705234527588
0.125,0.125,0.125,0.0822811126708984
0.125,0.25,0.125,0.0481216907501221
0.125,0.375,0.125,0.0481793880462646
0.125,0.5,0.125,0.0418310165405273
0.125,0.625,0.125,0.0416669845581055
0.125,0.75,0.125,0.0557477474212646
0.125,0.875,0.125,0.0912771224975586
0.125,1,0.125,0.084017276763916
0.125,1.125,0.125,0.0792393684387207
0.125,1.25,0.125,0.0555448532104492
0.125,1.375,0.125,0.0720028877258301
0.125,1.5,0.125,0.0399143695831299
0.125,1.625,0.125,0.0505928993225098
0.125,1.75,0.125,0.056981086730957
0.125,1.875,0.125,0.148530006408691
0.125,0,0.25,0.137996673583984
0.125,0.125,0.25,0.0709898471832275
0.125,0.25,0.25,0.0604758262634277
0.125,0.375,0.25,0.0557961463928223
0.125,0.5,0.25,0.0357592105865479
0.125,0.625,0.25,0.0374994277954102
0.125,0.75,0.25,0.067122220993042
0.125,0.875,0.25,0.0737006664276123
0.125,1,0.25,0.105762720108032
0.125,1.125,0.25,0.106970310211182
0.125,1.25,0.25,0.194802045822144
0.125,1.375,0.25,0.241863489151001
0.125,1.5,0.25,0.125304460525513
0.125,1.625,0.25,0.0312705039978027
0.125,1.75,0.25,0.0538825988769531
0.125,1.875,0.25,0.127155303955078
0.125,0,0.375,0.077286958694458
0.125,0.125,0.375,0.0581648349761963
0.125,0.25,0.375,0.0803570747375488
0.125,0.375,0.375,0.0785255432128906
0.125,0.5,0.375,0.0610146522521973
0.125,0.625,0.375,0.0371673107147217
0.125,0.75,0.375,0.0512020587921143
0.125,0.875,0.375,0.0671074390411377
0.125,1,0.375,0.159906387329102
0.125,1.125,0.375,0.174481391906738
0.125,1.25,0.375,0.171937227249146
0.125,1.375,0.375,0.142859935760498
0.125,1.5,0.375,0.240015745162964
0.125,1.625,0.375,0.154671430587769
0.125,1.75,0.375,0.0379269123077393
0.125,1.875,0.375,0.112927436828613
0.125,0,0.5,0.132985353469849
0.125,0.125,0.5,0.0824563503265381
0.125,0.25,0.5,0.0912213325500488
0.125,0.375,0.5,0.033616304397583
0.125,0.5,0.5,0.0629773139953613
0.125,0.625,0.5,0.0409533977508545
0.125,0.75,0.5,0.0603799819946289
0.125,0.875,0.5,0.0603501796722412
0.125,1,0.5,0.236793994903564
0.125,1.125,0.5,0.238960027694702
0.125,1.25,0.5,0.270233154296875
0.125,1.375,0.5,0.256237030029297
0.125,1.5,0.5,0.254884004592896
0.125,1.625,0.5,0.350241899490356
0.125,1.75,0.5,0.114603757858276
0.125,1.875,0.5,0.148002147674561
0.125,0,0.625,0.122465372085571
0.125,0.125,0.625,0.104916095733643
0.125,0.25,0.625,0.0346610546112061
0.125,0.375,0.625,0.0624771118164062
0.125,0.5,0.625,0.069333553314209
0.125,0.625,0.625,0.0802376270294189
0.125,0.75,0.625,0.104450225830078
0.125,0.875,0.625,0.166771173477173
0.125,1,0.625,0.312703371047974
0.125,1.125,0.625,0.262807607650757
0.125,1.25,0.625,0.140035390853882
0.125,1.375,0.625,0.171642303466797
0.125,1.5,0.625,0.170505046844482
0.125,1.625,0.625,0.294673442840576
0.125,1.75,0.625,0.225581884384155
0.125,1.875,0.625,0.100276231765747
0.125,0,0.75,0.0980551242828369
0.125,0.125,0.75,0.0773601531982422
0.125,0.25,0.75,0.0535805225372314
0.125,0.375,0.75,0.0923717021942139
0.125,0.5,0.75,0.0626389980316162
0.125,0.625,0.75,0.0451865196228027
0.125,0.75,0.75,0.0671145915985107
0.125,0.875,0.75,0.126949548721313
0.125,1,0.75,0.218662738800049
0.125,1.125,0.75,0.302495956420898
0.125,1.25,0.75,0.154935359954834
0.125,1.375,0.75,0.111516714096069
0.125,1.5,0.75,0.178863048553467
0.125,1.625,0.75,0.198598861694336
0.125,1.75,0.75,0.343301057815552
0.125,1.875,0.75,0.167956113815308
0.125,0,0.875,0.171764373779297
0.125,0.125,0.875,0.119352579116821
0.125,0.25,0.875,0.101653337478638
0.125,0.375,0.875,0.0742278099060059
0.125,0.5,0.875,0.0751395225524902
0.125,0.625,0.875,0.0713894367218018
0.125,0.75,0.875,0.108017444610596
0.125,0.875,0.875,0.351986885070801
0.125,1,0.875,0.427680969238281
0.125,1.125,0.875,0.262489080429077
0.125,1.25,0.875,0.132263422012329
0.125,1.375,0.875,0.074531078338623
0.125,1.5,0.875,0.173119306564331
0.125,1.625,0.875,0.194013595581055
0.125,1.75,0.875,0.490048408508301
0.125,1.875,0.875,0.281532764434814
0.125,0,1,0.0539066791534424
0.125,0.125,1,0.083082914352417
0.125,0.25,1,0.106761932373047
0.125,0.375,1,0.0525655746459961
0.125,0.5,1,0.0473668575286865
0.125,0.625,1,0.0488433837890625
0.125,0.75,1,0.220221757888794
0.125,0.875,1,0.45595908164978
0.125,1,1,0.228753805160522
0.125,1.125,1,0.0579602718353271
0.125,1.25,1,0.0790140628814697
0.125,1.375,1,0.037106990814209
0.125,1.5,1,0.107120513916016
0.125,1.625,1,0.152141809463501
0.125,1.75,1,0.623175859451294
0.125,1.875,1,0.123831033706665
0.125,0,1.125,0.0744709968566895
0.125,0.125,1.125,0.0916693210601807
0.125,0.25,1.125,0.147066116333008
0.125,0.375,1.125,0.0603890419006348
0.125,0.5,1.125,0.0536384582519531
0.125,0.625,1.125,0.0863330364227295
0.125,0.75,1.125,0.323870420455933
0.125,0.875,1.125,0.364681243896484
0.125,1,1.125,0.181033611297607
0.125,1.125,1.125,0.0698647499084473
0.125,1.25,1.125,0.0741980075836182
0.125,1.375,1.125,0.0622665882110596
0.125,1.5,1.125,0.142251253128052
0.125,1.625,1.125,0.292593717575073
0.125,1.75,1.125,0.669721603393555
0.125,1.875,1.125,0.0512664318084717
0.125,0,1.25,0.0762515068054199
0.125,0.125,1.25,0.0745594501495361
0.125,0.25,1.25,0.141498565673828
0.125,0.375,1.25,0.0469510555267334
0.125,0.5,1.25,0.0625960826873779
0.125,0.625,1.25,0.215254783630371
0.125,0.75,1.25,0.238946437835693
0.125,0.875,1.25,0.415060043334961
0.125,1,1.25,0.176636934280396
0.125,1.125,1.25,0.09501051902771
0.125,1.25,1.25,0.124363899230957
0.125,1.375,1.25,0.100358724594116
0.125,1.5,1.25,0.101215600967407
0.125,1.625,1.25,0.0678529739379883
0.125,1.75,1.25,0.656121969223022
0.125,1.875,1.25,0.611183404922485
0.125,0,1.375,0.0469627380371094
0.125,0.125,1.375,0.0709936618804932
0.125,0.25,1.375,0.0662329196929932
0.125,0.375,1.375,0.0685164928436279
0.125,0.5,1.375,0.0713992118835449
0.125,0.625,1.375,0.224246025085449
0.125,0.75,1.375,0.119604587554932
0.125,0.875,1.375,0.370528221130371
0.125,1,1.375,0.248770236968994
0.125,1.125,1.375,0.11944055557251
0.125,1.25,1.375,0.10275936126709
0.125,1.375,1.375,0.0443582534790039
0.125,1.5,1.375,0.0654385089874268
0.125,1.625,1.375,0.0688295364379883
0.125,1.75,1.375,0.060300350189209
0.125,1.875,1.375,0.507025957107544
0.125,0,1.5,0.100872755050659
0.125,0.125,1.5,0.0781819820404053
0.125,0.25,1.5,0.0743560791015625
0.125,0.375,1.5,0.0717360973358154
0.125,0.5,1.5,0.078838586807251
0.125,0.625,1.5,0.223934173583984
0.125,0.75,1.5,0.242658376693726
0.125,0.875,1.5,0.321967840194702
0.125,1,1.5,0.143761873245239
0.125,1.125,1.5,0.0621604919433594
0.125,1.25,1.5,0.0523111820220947
0.125,1.375,1.5,0.0388205051422119
0.125,1.5,1.5,0.120504856109619
0.125,1.625,1.5,0.122040510177612
0.125,1.75,1.5,0.174933195114136
0.125,1.875,1.5,0.271507501602173
0.125,0,1.625,0.13195013999939
0.125,0.125,1.625,0.0278995037078857
0.125,0.25,1.625,0.0548136234283447
0.125,0.375,1.625,0.0490992069244385
0.125,0.5,1.625,0.0828800201416016
0.125,0.625,1.625,0.152204275131226
0.125,0.75,1.625,0.168895959854126
0.125,0.875,1.625,0.3808913230896
0.125,1,1.625,0.321369171142578
0.125,1.125,1.625,0.0815589427947998
0.125,1.25,1.625,0.0713286399841309
0.125,1.375,1.625,0.0981144905090332
0.125,1.5,1.625,0.271125078201294
0.125,1.625,1.625,0.197892665863037
0.125,1.75,1.625,0.233345985412598
0.125,1.875,1.625,0.239328861236572
0.125,0,1.75,0.122368097305298
0.125,0.125,1.75,0.0216643810272217
0.125,0.25,1.75,0.0486738681793213
0.125,0.375,1.75,0.055565357208252
0.125,0.5,1.75,0.0589070320129395
0.125,0.625,1.75,0.104270219802856
0.125,0.75,1.75,0.123754262924194
0.125,0.875,1.75,0.287668466567993
0.125,1,1.75,0.398981094360352
0.125,1.125,1.75,0.084294319152832
0.125,1.25,1.75,0.0664827823638916
0.125,1.375,1.75,0.130373954772949
0.125,1.5,1.75,0.236877679824829
0.125,1.625,1.75,0.137500762939453
0.125,1.75,1.75,0.240171194076538
0.125,1.875,1.75,0.231554508209229
0.125,0,1.875,0.149599075317383
0.125,0.125,1.875,0.0647807121276855
0.125,0.25,1.875,0.0559821128845215
0.125,0.375,1.875,0.0787234306335449
0.125,0.5,1.875,0.105709791183472
0.125,0.625,1.875,0.0678610801696777
0.125,0.75,1.875,0.0887324810028076
0.125,0.875,1.875,0.191628456115723
0.125,1,1.875,0.440003156661987
0.125,1.125,1.875,0.101734399795532
0.125,1.25,1.875,0.0673127174377441
0.125,1.375,1.875,0.178824901580811
0.125,1.5,1.875,0.181391716003418
