"L0","x","y","H0"
2,0,0,0.506153583526611
1,0,0,0.408356189727783
1,1,0,0.40957236289978
1,0,1,0.506153583526611
1,1,1,0.431849956512451
0.5,0,0,0.38274359703064
0.5,0.5,0,0.343749046325684
0.5,1,0,0.274808406829834
0.5,1.5,0,0.368128299713135
0.5,0,0.5,0.310598134994507
0.5,0.5,0.5,0.365564346313477
0.5,1,0.5,0.293883562088013
0.5,1.5,0.5,0.325778245925903
0.5,0,1,0.307076692581177
0.5,0.5,1,0.485991716384888
0.5,1,1,0.237180948257446
0.5,1.5,1,0.3292396068573
0.5,0,1.5,0.310878276824951
0.5,0.5,1.5,0.455924034118652
0.5,1,1.5,0.429759979248047
0.5,1.5,1.5,0.392053604125977
0.25,0,0,0.206189393997192
0.25,0.25,0,0.246869087219238
0.25,0.5,0,0.199196815490723
0.25,0.75,0,0.211950778961182
0.25,1,0,0.176434755325317
0.25,1.25,0,0.160822153091431
0.25,1.5,0,0.23668098449707
0.25,1.75,0,0.310851097106934
0.25,0,0.25,0.273532629013062
0.25,0.25,0.25,0.38274359703064
0.25,0.5,0.25,0.342795133590698
0.25,0.75,0.25,0.167281627655029
0.25,1,0.25,0.146039247512817
0.25,1.25,0.25,0.274808406829834
0.25,1.5,0.25,0.279317617416382
0.25,1.75,0.25,0.275601387023926
0.25,0,0.5,0.172479152679443
0.25,0.25,0.5,0.310598134994507
0.25,0.5,0.5,0.363828659057617
0.25,0.75,0.5,0.0945744514465332
0.25,1,0.5,0.166181325912476
0.25,1.25,0.5,0.257155418395996
0.25,1.5,0.5,0.0742387771606445
0.25,1.75,0.5,0.171740055084229
0.25,0,0.75,0.110269546508789
0.25,0.25,0.75,0.24666166305542
0.25,0.5,0.75,0.17917275428772
0.25,0.75,0.75,0.0989992618560791
0.25,1,0.75,0.0987231731414795
0.25,1.25,0.75,0.229649782180786
0.25,1.5,0.75,0.325778245925903
0.25,1.75,0.75,0.264362096786499
0.25,0,1,0.189743518829346
0.25,0.25,1,0.234451055526733
0.25,0.5,1,0.336268901824951
0.25,0.75,1,0.185590982437134
0.25,1,1,0.19819188117981
0.25,1.25,1,0.207750558853149
0.25,1.5,1,0.321796178817749
0.25,1.75,1,0.229065418243408
0.25,0,1.25,0.144594192504883
0.25,0.25,1.25,0.137299776077271
0.25,0.5,1.25,0.421579599380493
0.25,0.75,1.25,0.226003885269165
0.25,1,1.25,0.228179216384888
0.25,1.25,1.25,0.193151712417603
0.25,1.5,1.25,0.190476655960083
0.25,1.75,1.25,0.170697689056396
0.25,0,1.5,0.206657886505127
0.25,0.25,1.5,0.222097635269165
0.25,0.5,1.5,0.248775243759155
0.25,0.75,1.5,0.268230438232422
0.25,1,1.5,0.224396467208862
0.25,1.25,1.5,0.382364988327026
0.25,1.5,1.5,0.35084080696106
0.25,1.75,1.5,0.170929670333862
0.25,0,1.75,0.291754007339478
0.25,0.25,1.75,0.255082130432129
0.25,0.5,1.75,0.234601259231567
0.25,0.75,1.75,0.241674661636353
0.25,1,1.75,0.342656373977661
0.25,1.25,1.75,0.375170707702637
0.25,1.5,1.75,0.374476194381714
0.25,1.75,1.75,0.161270618438721
0.125,0,0,0.0595300197601318
0.125,0.125,0,0.166106700897217
0.125,0.25,0,0.17477560043335
0.125,0.375,0,0.173980236053467
0.125,0.5,0,0.110893726348877
0.125,0.625,0,0.110201358795166
0.125,0.75,0,0.106561660766602
0.125,0.875,0,0.211950778961182
0.125,1,0,0.0291182994842529
0.125,1.125,0,0.0388393402099609
0.125,1.25,0,0.0970654487609863
0.125,1.375,0,0.0917854309082031
0.125,1.5,0,0.133934497833252
0.125,1.625,0,0.161971569061279
0.125,1.75,0,0.0705931186676025
0.125,1.875,0,0.223519802093506
0.125,0,0.125,0.140432834625244
0.125,0.125,0.125,0.13265585899353
0.125,0.25,0.125,0.112982273101807
0.125,0.375,0.125,0.194252490997314
0.125,0.5,0.125,0.0589792728424072
0.125,0.625,0.125,0.173409223556519
0.125,0.75,0.125,0.140328407287598
0.125,0.875,0.125,0.181654214859009
0.125,1,0.125,0.157330751419067
0.125,1.125,0.125,0.0688378810882568
0.125,1.25,0.125,0.141378164291382
0.125,1.375,0.125,0.06656813621521
0.125,1.5,0.125,0.0553855895996094
0.125,1.625,0.125,0.224037170410156
0.125,1.75,0.125,0.145366430282593
0.125,1.875,0.125,0.170788764953613
0.125,0,0.25,0.251927137374878
0.125,0.125,0.25,0.205070018768311
0.125,0.25,0.25,0.287197589874268
0.125,0.375,0.25,0.132278442382812
0.125,0.5,0.25,0.0302083492279053
0.125,0.625,0.25,0.180046558380127
0.125,0.75,0.25,0.147701740264893
0.125,0.875,0.25,0.103271245956421
0.125,1,0.25,0.0611748695373535
0.125,1.125,0.25,0.100859642028809
0.125,1.25,0.25,0.142322301864624
0.125,1.375,0.25,0.137070655822754
0.125,1.5,0.25,0.0825583934783936
0.125,1.625,0.25,0.247718572616577
0.125,1.75,0.25,0.252297163009644
0.125,1.875,0.25,0.178302764892578
0.125,0,0.375,0.0784006118774414
0.125,0.125,0.375,0.0780184268951416
0.125,0.25,0.375,0.254558801651001
0.125,0.375,0.375,0.35991907119751
0.125,0.5,0.375,0.339594125747681
0.125,0.625,0.375,0.0520262718200684
0.125,0.75,0.375,0.111238718032837
0.125,0.875,0.375,0.0914065837860107
0.125,1,0.375,0.0911104679107666
0.125,1.125,0.375,0.106984853744507
0.125,1.25,0.375,0.142711877822876
0.125,1.375,0.375,0.26722526550293
0.125,1.5,0.375,0.0301637649536133
0.125,1.625,0.375,0.0716767311096191
0.125,1.75,0.375,0.0925107002258301
0.125,1.875,0.375,0.128018379211426
0.125,0,0.5,0.135795831680298
0.125,0.125,0.5,0.116476774215698
0.125,0.25,0.5,0.0944521427154541
0.125,0.375,0.5,0.0780384540557861
0.125,0.5,0.5,0.363828659057617
0.125,0.625,0.5,0.115422248840332
0.125,0.75,0.5,0.0695440769195557
0.125,0.875,0.5,0.0377049446105957
0.125,1,0.5,0.0628745555877686
0.125,1.125,0.5,0.140151500701904
0.125,1.25,0.5,0.119780302047729
0.125,1.375,0.5,0.257155418395996
0.125,1.5,0.5,0.0419638156890869
0.125,1.625,0.5,0.0417385101318359
0.125,1.75,0.5,0.162792921066284
0.125,1.875,0.5,0.115990877151489
0.125,0,0.625,0.126250505447388
0.125,0.125,0.625,0.131761074066162
0.125,0.25,0.625,0.187031030654907
0.125,0.375,0.625,0.296574831008911
0.125,0.5,0.625,0.333146810531616
0.125,0.625,0.625,0.245805501937866
0.125,0.75,0.625,0.0397670269012451
0.125,0.875,0.625,0.0455584526062012
0.125,1,0.625,0.057342529296875
0.125,1.125,0.625,0.138623714447021
0.125,1.25,0.625,0.151100158691406
0.125,1.375,0.625,0.198899269104004
0.125,1.5,0.625,0.0700705051422119
0.125,1.625,0.625,0.0741705894470215
0.125,1.75,0.625,0.158036708831787
0.125,1.875,0.625,0.118622064590454
0.125,0,0.75,0.0853204727172852
