"L0","x","y","H0"
2,0,0,0.601598024368286
1,0,0,0.599118709564209
1,1,0,0.399296760559082
1,0,1,0.355025768280029
1,1,1,0.426653146743774
0.5,0,0,0.300455808639526
0.5,0.5,0,0.43447732925415
0.5,1,0,0.310866355895996
0.5,1.5,0,0.266061544418335
0.5,0,0.5,0.599118709564209
0.5,0.5,0.5,0.572023153305054
0.5,1,0.5,0.376004695892334
0.5,1.5,0.5,0.351446866989136
0.5,0,1,0.355025768280029
0.5,0.5,1,0.143589735031128
0.5,1,1,0.410154342651367
0.5,1.5,1,0.423536062240601
0.5,0,1.5,0.329966306686401
0.5,0.5,1.5,0.0852682590484619
0.5,1,1.5,0.229901075363159
0.5,1.5,1.5,0.309884786605835
0.25,0,0,0.123640775680542
0.25,0.25,0,0.185369253158569
0.25,0.5,0,0.420768260955811
0.25,0.75,0,0.277042627334595
0.25,1,0,0.280082702636719
0.25,1.25,0,0.205636739730835
0.25,1.5,0,0.121771335601807
0.25,1.75,0,0.0984821319580078
0.25,0,0.25,0.223580598831177
0.25,0.25,0.25,0.182473659515381
0.25,0.5,0.25,0.401432275772095
0.25,0.75,0.25,0.326955795288086
0.25,1,0.25,0.294613599777222
0.25,1.25,0.25,0.22126841545105
0.25,1.5,0.25,0.247891902923584
0.25,1.75,0.25,0.12474799156189
0.25,0,0.5,0.213014841079712
0.25,0.25,0.5,0.160686731338501
0.25,0.5,0.5,0.529531717300415
0.25,0.75,0.5,0.443251848220825
0.25,1,0.5,0.170555830001831
0.25,1.25,0.5,0.238970994949341
0.25,1.5,0.5,0.271428108215332
0.25,1.75,0.5,0.290027379989624
0.25,0,0.75,0.582442045211792
0.25,0.25,0.75,0.481277465820312
0.25,0.5,0.75,0.544854640960693
0.25,0.75,0.75,0.19508171081543
0.25,1,0.75,0.21709418296814
0.25,1.25,0.75,0.27571702003479
0.25,1.5,0.75,0.292754650115967
0.25,1.75,0.75,0.292438507080078
0.25,0,1,0.355025768280029
0.25,0.25,1,0.201374292373657
0.25,0.5,1,0.109274387359619
0.25,0.75,1,0.0897948741912842
0.25,1,1,0.187865257263184
0.25,1.25,1,0.400522470474243
0.25,1.5,1,0.423536062240601
0.25,1.75,1,0.261498212814331
0.25,0,1.25,0.20788836479187
0.25,0.25,1.25,0.107600927352905
0.25,0.5,1.25,0.127569913864136
0.25,0.75,1.25,0.0861914157867432
0.25,1,1.25,0.119409799575806
0.25,1.25,1.25,0.128092527389526
0.25,1.5,1.25,0.3100266456604
0.25,1.75,1.25,0.244305849075317
0.25,0,1.5,0.301103591918945
0.25,0.25,1.5,0.133375883102417
0.25,0.5,1.5,0.0632872581481934
0.25,0.75,1.5,0.0658361911773682
0.25,1,1.5,0.159445762634277
0.25,1.25,1.5,0.168143033981323
0.25,1.5,1.5,0.309884786605835
0.25,1.75,1.5,0.219210386276245
0.25,0,1.75,0.278986692428589
0.25,0.25,1.75,0.150196075439453
0.25,0.5,1.75,0.0588791370391846
0.25,0.75,1.75,0.057373046875
0.25,1,1.75,0.182575702667236
0.25,1.25,1.75,0.204036235809326
0.25,1.5,1.75,0.103869676589966
0.25,1.75,1.75,0.232122659683228
0.125,0,0,0.0480923652648926
0.125,0.125,0,0.0580859184265137
0.125,0.25,0,0.0919203758239746
0.125,0.375,0,0.133068799972534
0.125,0.5,0,0.40713095664978
0.125,0.625,0,0.297785758972168
0.125,0.75,0,0.166363000869751
0.125,0.875,0,0.237635374069214
0.125,1,0,0.266891479492188
0.125,1.125,0,0.108837842941284
0.125,1.25,0,0.175804138183594
0.125,1.375,0,0.179232358932495
0.125,1.5,0,0.0696396827697754
0.125,1.625,0,0.0999655723571777
0.125,1.75,0,0.0865144729614258
0.125,1.875,0,0.0795385837554932
0.125,0,0.125,0.0919055938720703
0.125,0.125,0.125,0.040292501449585
0.125,0.25,0.125,0.058969259262085
0.125,0.375,0.125,0.137513637542725
0.125,0.5,0.125,0.192622661590576
0.125,0.625,0.125,0.294137239456177
0.125,0.75,0.125,0.236922740936279
0.125,0.875,0.125,0.146318197250366
0.125,1,0.125,0.185973882675171
0.125,1.125,0.125,0.103872060775757
0.125,1.25,0.125,0.0909817218780518
0.125,1.375,0.125,0.164890050888062
0.125,1.5,0.125,0.0610318183898926
0.125,1.625,0.125,0.0932424068450928
0.125,1.75,0.125,0.0781216621398926
0.125,1.875,0.125,0.0785107612609863
0.125,0,0.25,0.211338043212891
0.125,0.125,0.25,0.120028972625732
0.125,0.25,0.25,0.0604190826416016
0.125,0.375,0.25,0.12330436706543
0.125,0.5,0.25,0.178663969039917
0.125,0.625,0.25,0.296262741088867
0.125,0.75,0.25,0.276909828186035
0.125,0.875,0.25,0.201213359832764
0.125,1,0.25,0.0610644817352295
0.125,1.125,0.25,0.148526668548584
0.125,1.25,0.25,0.117957353591919
0.125,1.375,0.25,0.133134841918945
0.125,1.5,0.25,0.0680663585662842
0.125,1.625,0.25,0.0927190780639648
0.125,1.75,0.25,0.0305633544921875
0.125,1.875,0.25,0.0421276092529297
0.125,0,0.375,0.210870742797852
0.125,0.125,0.375,0.125345468521118
0.125,0.25,0.375,0.0664117336273193
0.125,0.375,0.375,0.145399808883667
0.125,0.5,0.375,0.21211051940918
