"L0","x","y","H0"
2,0,0,0.733863115310669
1,0,0,0.614324808120728
1,1,0,0.460561037063599
1,0,1,0.536978483200073
1,1,1,0.251105070114136
0.5,0,0,0.355810403823853
0.5,0.5,0,0.465728759765625
0.5,1,0,0.460561037063599
0.5,1.5,0,0.215034961700439
0.5,0,0.5,0.355807065963745
0.5,0.5,0.5,0.312713861465454
0.5,1,0.5,0.295494318008423
0.5,1.5,0.5,0.0919671058654785
0.5,0,1,0.370476007461548
0.5,0.5,1,0.243084669113159
0.5,1,1,0.168951034545898
0.5,1.5,1,0.221402883529663
0.5,0,1.5,0.354046583175659
0.5,0.5,1.5,0.313267469406128
0.5,1,1.5,0.149590015411377
0.5,1.5,1.5,0.210984706878662
0.25,0,0,0.108593702316284
0.25,0.25,0,0.184215307235718
0.25,0.5,0,0.327716827392578
0.25,0.75,0,0.221312284469604
0.25,1,0,0.1823410987854
0.25,1.25,0,0.382356405258179
0.25,1.5,0,0.123365879058838
0.25,1.75,0,0.15099048614502
0.25,0,0.25,0.230332851409912
0.25,0.25,0.25,0.300864219665527
0.25,0.5,0.25,0.241459369659424
0.25,0.75,0.25,0.252331495285034
0.25,1,0.25,0.216341495513916
0.25,1.25,0.25,0.394890308380127
0.25,1.5,0.25,0.137506246566772
0.25,1.75,0.25,0.120946407318115
0.25,0,0.5,0.265889644622803
0.25,0.25,0.5,0.263927221298218
0.25,0.5,0.5,0.112604141235352
0.25,0.75,0.5,0.170847654342651
0.25,1,0.5,0.16417670249939
0.25,1.25,0.5,0.271312713623047
0.25,1.5,0.5,0.0884411334991455
0.25,1.75,0.5,0.0821816921234131
0.25,0,0.75,0.217770576477051
0.25,0.25,0.75,0.202638149261475
0.25,0.5,0.75,0.212015151977539
0.25,0.75,0.75,0.189438581466675
0.25,1,0.75,0.178005695343018
0.25,1.25,0.75,0.171795845031738
0.25,1.5,0.75,0.0620744228363037
0.25,1.75,0.75,0.0589349269866943
0.25,0,1,0.365186214447021
0.25,0.25,1,0.251833915710449
0.25,0.5,1,0.175823211669922
0.25,0.75,1,0.15519642829895
0.25,1,1,0.141628742218018
0.25,1.25,1,0.15158748626709
0.25,1.5,1,0.158721685409546
0.25,1.75,1,0.142281293869019
0.25,0,1.25,0.259054899215698
0.25,0.25,1.25,0.229387283325195
0.25,0.5,1.25,0.243084669113159
0.25,0.75,1.25,0.115768432617188
0.25,1,1.25,0.0951862335205078
0.25,1.25,1.25,0.129805564880371
0.25,1.5,1.25,0.121877908706665
0.25,1.75,1.25,0.143375635147095
0.25,0,1.5,0.107785224914551
0.25,0.25,1.5,0.210636854171753
0.25,0.5,1.5,0.310182809829712
0.25,0.75,1.5,0.133260726928711
0.25,1,1.5,0.0660626888275146
0.25,1.25,1.5,0.116584777832031
0.25,1.5,1.5,0.122950553894043
0.25,1.75,1.5,0.118189096450806
0.25,0,1.75,0.184334278106689
0.25,0.25,1.75,0.246901750564575
0.25,0.5,1.75,0.171344518661499
0.25,0.75,1.75,0.145248413085938
0.25,1,1.75,0.118377447128296
0.25,1.25,1.75,0.0985321998596191
0.25,1.5,1.75,0.144457578659058
0.25,1.75,1.75,0.105580806732178
0.125,0,0,0.066364049911499
0.125,0.125,0,0.0759263038635254
0.125,0.25,0,0.114395380020142
0.125,0.375,0,0.132283926010132
0.125,0.5,0,0.275157928466797
0.125,0.625,0,0.220337867736816
0.125,0.75,0,0.135621786117554
0.125,0.875,0,0.120857954025269
0.125,1,0,0.106496810913086
0.125,1.125,0,0.0930190086364746
0.125,1.25,0,0.165092706680298
0.125,1.375,0,0.102901697158813
0.125,1.5,0,0.0830323696136475
0.125,1.625,0,0.0515761375427246
0.125,1.75,0,0.0595526695251465
0.125,1.875,0,0.1275315284729
0.125,0,0.125,0.0371334552764893
0.125,0.125,0.125,0.0625965595245361
0.125,0.25,0.125,0.112487077713013
0.125,0.375,0.125,0.109513521194458
0.125,0.5,0.125,0.253214359283447
0.125,0.625,0.125,0.122251987457275
0.125,0.75,0.125,0.0988295078277588
0.125,0.875,0.125,0.119568347930908
0.125,1,0.125,0.1823410987854
0.125,1.125,0.125,0.0855298042297363
0.125,1.25,0.125,0.382356405258179
0.125,1.375,0.125,0.245757102966309
0.125,1.5,0.125,0.0574488639831543
0.125,1.625,0.125,0.063152551651001
0.125,1.75,0.125,0.0360660552978516
0.125,1.875,0.125,0.113862276077271
0.125,0,0.25,0.0877134799957275
0.125,0.125,0.25,0.0562567710876465
0.125,0.25,0.25,0.09417724609375
0.125,0.375,0.25,0.225372076034546
0.125,0.5,0.25,0.190891027450562
0.125,0.625,0.25,0.081817626953125
0.125,0.75,0.25,0.0723628997802734
0.125,0.875,0.25,0.0967075824737549
0.125,1,0.25,0.187687873840332
0.125,1.125,0.25,0.07696533203125
0.125,1.25,0.25,0.394890308380127
0.125,1.375,0.25,0.200492858886719
0.125,1.5,0.25,0.0799801349639893
0.125,1.625,0.25,0.0745978355407715
0.125,1.75,0.25,0.0709929466247559
0.125,1.875,0.25,0.107904672622681
0.125,0,0.375,0.177334785461426
0.125,0.125,0.375,0.140717029571533
0.125,0.25,0.375,0.291389942169189
0.125,0.375,0.375,0.228996992111206
0.125,0.5,0.375,0.115366220474243
0.125,0.625,0.375,0.126749515533447
0.125,0.75,0.375,0.157407760620117
0.125,0.875,0.375,0.114694356918335
0.125,1,0.375,0.134854793548584
0.125,1.125,0.375,0.121934652328491
0.125,1.25,0.375,0.209443092346191
0.125,1.375,0.375,0.115963697433472
0.125,1.5,0.375,0.117424964904785
0.125,1.625,0.375,0.0523808002471924
0.125,1.75,0.375,0.0883195400238037
0.125,1.875,0.375,0.0804979801177979
0.125,0,0.5,0.157777547836304
0.125,0.125,0.5,0.117163896560669
0.125,0.25,0.5,0.238063812255859
0.125,0.375,0.5,0.0752325057983398
0.125,0.5,0.5,0.0536692142486572
0.125,0.625,0.5,0.0966763496398926
0.125,0.75,0.5,0.159104347229004
0.125,0.875,0.5,0.0332202911376953
0.125,1,0.5,0.0905055999755859
0.125,1.125,0.5,0.13188910484314
0.125,1.25,0.5,0.161770343780518
0.125,1.375,0.5,0.15606951713562
0.125,1.5,0.5,0.0866086483001709
0.125,1.625,0.5,0.0560989379882812
