"L0","x","y","H0"
2,0,0,0.683563470840454
1,0,0,0.322421789169312
1,1,0,0.558168172836304
1,0,1,0.610952854156494
1,1,1,0.575436115264893
0.5,0,0,0.322421789169312
0.5,0.5,0,0.307607412338257
0.5,1,0,0.384183645248413
0.5,1.5,0,0.339381456375122
0.5,0,0.5,0.252871751785278
0.5,0.5,0.5,0.10899806022644
0.5,1,0.5,0.558083772659302
0.5,1.5,0.5,0.382467985153198
0.5,0,1,0.460855484008789
0.5,0.5,1,0.477297067642212
0.5,1,1,0.44201135635376
0.5,1.5,1,0.48324728012085
0.5,0,1.5,0.586381435394287
0.5,0.5,1.5,0.5550377368927
0.5,1,1.5,0.482121706008911
0.5,1.5,1.5,0.507080316543579
0.25,0,0,0.119972467422485
0.25,0.25,0,0.0853090286254883
0.25,0.5,0,0.19895601272583
0.25,0.75,0,0.152874231338501
0.25,1,0,0.229668140411377
0.25,1.25,0,0.303676605224609
0.25,1.5,0,0.234183073043823
0.25,1.75,0,0.1443772315979
0.25,0,0.25,0.294437885284424
0.25,0.25,0.25,0.301024675369263
0.25,0.5,0.25,0.264775037765503
0.25,0.75,0.25,0.159852981567383
0.25,1,0.25,0.227115631103516
0.25,1.25,0.25,0.280278205871582
0.25,1.5,0.25,0.213784694671631
0.25,1.75,0.25,0.308135747909546
0.25,0,0.5,0.230706453323364
0.25,0.25,0.5,0.190688133239746
0.25,0.5,0.5,0.0854401588439941
0.25,0.75,0.5,0.046870231628418
0.25,1,0.5,0.227191209793091
0.25,1.25,0.5,0.26738977432251
0.25,1.5,0.5,0.147141933441162
0.25,1.75,0.5,0.292251825332642
0.25,0,0.75,0.178210735321045
0.25,0.25,0.75,0.171749591827393
0.25,0.5,0.75,0.0990524291992188
0.25,0.75,0.75,0.0408093929290771
0.25,1,0.75,0.389990568161011
0.25,1.25,0.75,0.40419340133667
0.25,1.5,0.75,0.160474061965942
0.25,1.75,0.75,0.182783603668213
0.25,0,1,0.409102201461792
0.25,0.25,1,0.398645877838135
0.25,0.5,1,0.247529745101929
0.25,0.75,1,0.366957664489746
0.25,1,1,0.354512453079224
0.25,1.25,1,0.423965454101562
0.25,1.5,1,0.168192148208618
0.25,1.75,1,0.152467727661133
0.25,0,1.25,0.341221809387207
0.25,0.25,1.25,0.357800722122192
0.25,0.5,1.25,0.351503610610962
0.25,0.75,1.25,0.205224275588989
0.25,1,1.25,0.103715896606445
0.25,1.25,1.25,0.32551121711731
0.25,1.5,1.25,0.472726345062256
0.25,1.75,1.25,0.169166326522827
0.25,0,1.5,0.527711868286133
0.25,0.25,1.5,0.542630434036255
0.25,0.5,1.5,0.499421119689941
0.25,0.75,1.5,0.474745512008667
0.25,1,1.5,0.195921897888184
0.25,1.25,1.5,0.117924928665161
0.25,1.5,1.5,0.441474437713623
0.25,1.75,1.5,0.121217489242554
0.25,0,1.75,0.224723100662231
0.25,0.25,1.75,0.26230788230896
0.25,0.5,1.75,0.522611141204834
0.25,0.75,1.75,0.525893926620483
0.25,1,1.75,0.387812376022339
0.25,1.25,1.75,0.426281929016113
0.25,1.5,1.75,0.503878831863403
0.25,1.75,1.75,0.282988786697388
0.125,0,0,0.0854911804199219
0.125,0.125,0,0.0694136619567871
0.125,0.25,0,0.0703160762786865
0.125,0.375,0,0.0853090286254883
0.125,0.5,0,0.0734310150146484
0.125,0.625,0,0.16891074180603
0.125,0.75,0,0.138151407241821
0.125,0.875,0,0.132056951522827
0.125,1,0,0.100805759429932
0.125,1.125,0,0.125457286834717
0.125,1.25,0,0.157417774200439
0.125,1.375,0,0.257420539855957
0.125,1.5,0,0.136645078659058
0.125,1.625,0,0.151932954788208
0.125,1.75,0,0.12185263633728
0.125,1.875,0,0.129992008209229
0.125,0,0.125,0.0870609283447266
0.125,0.125,0.125,0.0860762596130371
0.125,0.25,0.125,0.0557320117950439
0.125,0.375,0.125,0.0693669319152832
0.125,0.5,0.125,0.0814836025238037
0.125,0.625,0.125,0.147997140884399
0.125,0.75,0.125,0.130704879760742
0.125,0.875,0.125,0.109760522842407
0.125,1,0.125,0.0821220874786377
0.125,1.125,0.125,0.14487886428833
0.125,1.25,0.125,0.184671878814697
0.125,1.375,0.125,0.19963002204895
0.125,1.5,0.125,0.113089799880981
0.125,1.625,0.125,0.131609916687012
0.125,1.75,0.125,0.115705013275146
0.125,1.875,0.125,0.0554311275482178
0.125,0,0.25,0.0898630619049072
0.125,0.125,0.25,0.117586374282837
0.125,0.25,0.25,0.0990579128265381
0.125,0.375,0.25,0.280482530593872
0.125,0.5,0.25,0.248273134231567
0.125,0.625,0.25,0.241908073425293
0.125,0.75,0.25,0.150173425674438
0.125,0.875,0.25,0.0803072452545166
0.125,1,0.25,0.0550997257232666
0.125,1.125,0.25,0.185095071792603
0.125,1.25,0.25,0.109037399291992
0.125,1.375,0.25,0.257961511611938
0.125,1.5,0.25,0.200898885726929
0.125,1.625,0.25,0.118573665618896
0.125,1.75,0.25,0.135395050048828
0.125,1.875,0.25,0.0979809761047363
0.125,0,0.375,0.206161022186279
0.125,0.125,0.375,0.194316625595093
0.125,0.25,0.375,0.118873834609985
0.125,0.375,0.375,0.202825784683228
0.125,0.5,0.375,0.0801849365234375
0.125,0.625,0.375,0.144363403320312
0.125,0.75,0.375,0.045896053314209
0.125,0.875,0.375,0.0192198753356934
0.125,1,0.375,0.062758207321167
0.125,1.125,0.375,0.180805921554565
0.125,1.25,0.375,0.0443181991577148
0.125,1.375,0.375,0.111924648284912
0.125,1.5,0.375,0.193194627761841
0.125,1.625,0.375,0.0782301425933838
0.125,1.75,0.375,0.189226865768433
0.125,1.875,0.375,0.256063461303711
0.125,0,0.5,0.0851960182189941
0.125,0.125,0.5,0.193385601043701
0.125,0.25,0.5,0.0869941711425781
0.125,0.375,0.5,0.135251998901367
0.125,0.5,0.5,0.0854401588439941
0.125,0.625,0.5,0.0287172794342041
0.125,0.75,0.5,0.0250618457794189
0.125,0.875,0.5,0.0208985805511475
0.125,1,0.5,0.0651257038116455
0.125,1.125,0.5,0.169753074645996
0.125,1.25,0.5,0.0632224082946777
0.125,1.375,0.5,0.237711906433105
0.125,1.5,0.5,0.143893957138062
0.125,1.625,0.5,0.0718817710876465
0.125,1.75,0.5,0.128862857818604
0.125,1.875,0.5,0.188571691513062
0.125,0,0.625,0.147002220153809
0.125,0.125,0.625,0.151565313339233
0.125,0.25,0.625,0.0863180160522461
0.125,0.375,0.625,0.119128704071045
0.125,0.5,0.625,0.0366289615631104
0.125,0.625,0.625,0.0344667434692383
0.125,0.75,0.625,0.0306391716003418
0.125,0.875,0.625,0.0373523235321045
0.125,1,0.625,0.0654444694519043
0.125,1.125,0.625,0.152228355407715
0.125,1.25,0.625,0.243761539459229
0.125,1.375,0.625,0.249808549880981
0.125,1.5,0.625,0.0451159477233887
0.125,1.625,0.625,0.043118953704834
0.125,1.75,0.625,0.0538215637207031
0.125,1.875,0.625,0.292251825332642
0.125,0,0.75,0.10058331489563
0.125,0.125,0.75,0.0706081390380859
0.125,0.25,0.75,0.125770330429077
0.125,0.375,0.75,0.111167907714844
0.125,0.5,0.75,0.0649375915527344
0.125,0.625,0.75,0.0278623104095459
0.125,0.75,0.75,0.0405192375183105
0.125,0.875,0.75,0.0281040668487549
0.125,1,0.75,0.0882477760314941
0.125,1.125,0.75,0.0981245040893555
0.125,1.25,0.75,0.181087255477905
0.125,1.375,0.75,0.0730981826782227
0.125,1.5,0.75,0.073326587677002
0.125,1.625,0.75,0.0987231731414795
0.125,1.75,0.75,0.113556861877441
0.125,1.875,0.75,0.129170417785645
0.125,0,0.875,0.0662477016448975
0.125,0.125,0.875,0.133774757385254
0.125,0.25,0.875,0.113780975341797
0.125,0.375,0.875,0.101761341094971
0.125,0.5,0.875,0.0951333045959473
0.125,0.625,0.875,0.0434596538543701
0.125,0.75,0.875,0.0233180522918701
0.125,0.875,0.875,0.03108811378479
0.125,1,0.875,0.100582838058472
0.125,1.125,0.875,0.370162010192871
0.125,1.25,0.875,0.27283763885498
0.125,1.375,0.875,0.0678794384002686
0.125,1.5,0.875,0.139981269836426
0.125,1.625,0.875,0.154934644699097
0.125,1.75,0.875,0.147276163101196
0.125,1.875,0.875,0.139463186264038
0.125,0,1,0.312669038772583
0.125,0.125,1,0.331483364105225
0.125,0.25,1,0.195764303207397
0.125,0.375,1,0.0621037483215332
0.125,0.5,1,0.137135982513428
0.125,0.625,1,0.0964500904083252
0.125,0.75,1,0.0880208015441895
0.125,0.875,1,0.0874884128570557
0.125,1,1,0.336988925933838
0.125,1.125,1,0.31926417350769
0.125,1.25,1,0.355464458465576
0.125,1.375,1,0.344799041748047
0.125,1.5,1,0.0943474769592285
0.125,1.625,1,0.0484504699707031
0.125,1.75,1,0.12800121307373
0.125,1.875,1,0.147242307662964
0.125,0,1.125,0.372169017791748
0.125,0.125,1.125,0.222555637359619
0.125,0.25,1.125,0.298892498016357
0.125,0.375,1.125,0.1130690574646
0.125,0.5,1.125,0.09177565574646
0.125,0.625,1.125,0.202845573425293
0.125,0.75,1.125,0.350386619567871
0.125,0.875,1.125,0.296373605728149
0.125,1,1.125,0.274729251861572
0.125,1.125,1.125,0.0668468475341797
0.125,1.25,1.125,0.1090407371521
0.125,1.375,1.125,0.34788990020752
0.125,1.5,1.125,0.112878322601318
0.125,1.625,1.125,0.100481510162354
0.125,1.75,1.125,0.14443302154541
0.125,1.875,1.125,0.0321817398071289
0.125,0,1.25,0.32180380821228
0.125,0.125,1.25,0.0964066982269287
0.125,0.25,1.25,0.219901561737061
0.125,0.375,1.25,0.357800722122192
0.125,0.5,1.25,0.351503610610962
0.125,0.625,1.25,0.145543813705444
0.125,0.75,1.25,0.192547798156738
0.125,0.875,1.25,0.0482313632965088
0.125,1,1.25,0.0686211585998535
0.125,1.125,1.25,0.0612139701843262
0.125,1.25,1.25,0.0429928302764893
0.125,1.375,1.25,0.32551121711731
0.125,1.5,1.25,0.41050386428833
0.125,1.625,1.25,0.0863089561462402
0.125,1.75,1.25,0.141364097595215
0.125,1.875,1.25,0.0408070087432861
0.125,0,1.375,0.0952467918395996
0.125,0.125,1.375,0.0514702796936035
0.125,0.25,1.375,0.061896800994873
0.125,0.375,1.375,0.0876898765563965
0.125,0.5,1.375,0.202141761779785
0.125,0.625,1.375,0.0801005363464355
0.125,0.75,1.375,0.19173002243042
0.125,0.875,1.375,0.0575816631317139
0.125,1,1.375,0.0737285614013672
0.125,1.125,1.375,0.0355844497680664
0.125,1.25,1.375,0.0275905132293701
0.125,1.375,1.375,0.0921192169189453
0.125,1.5,1.375,0.400924682617188
0.125,1.625,1.375,0.101127147674561
0.125,1.75,1.375,0.135175466537476
0.125,1.875,1.375,0.0470006465911865
0.125,0,1.5,0.100955247879028
0.125,0.125,1.5,0.461870670318604
0.125,0.25,1.5,0.495451688766479
0.125,0.375,1.5,0.139006376266479
0.125,0.5,1.5,0.154411315917969
0.125,0.625,1.5,0.100126266479492
0.125,0.75,1.5,0.160176992416382
0.125,0.875,1.5,0.122396469116211
0.125,1,1.5,0.123606204986572
0.125,1.125,1.5,0.0780646800994873
0.125,1.25,1.5,0.0626366138458252
0.125,1.375,1.5,0.068342924118042
0.125,1.5,1.5,0.385293483734131
0.125,1.625,1.5,0.0674071311950684
0.125,1.75,1.5,0.108032941818237
0.125,1.875,1.5,0.0236568450927734
0.125,0,1.625,0.520829677581787
0.125,0.125,1.625,0.527283906936646
0.125,0.25,1.625,0.519033193588257
0.125,0.375,1.625,0.512282371520996
0.125,0.5,1.625,0.489691734313965
0.125,0.625,1.625,0.484070777893066
0.125,0.75,1.625,0.467199087142944
0.125,0.875,1.625,0.424561023712158
0.125,1,1.625,0.105955123901367
0.125,1.125,1.625,0.108395099639893
0.125,1.25,1.625,0.115358829498291
0.125,1.375,1.625,0.0546362400054932
0.125,1.5,1.625,0.405652761459351
0.125,1.625,1.625,0.096510648727417
0.125,1.75,1.625,0.0575132369995117
0.125,1.875,1.625,0.0394537448883057
0.125,0,1.75,0.215315103530884
0.125,0.125,1.75,0.0864815711975098
0.125,0.25,1.75,0.0848944187164307
0.125,0.375,1.75,0.250108003616333
0.125,0.5,1.75,0.508783340454102
0.125,0.625,1.75,0.499005317687988
0.125,0.75,1.75,0.513221502304077
0.125,0.875,1.75,0.508101940155029
0.125,1,1.75,0.308131694793701
0.125,1.125,1.75,0.232395172119141
0.125,1.25,1.75,0.136023998260498
0.125,1.375,1.75,0.108819007873535
0.125,1.5,1.75,0.408129215240479
0.125,1.625,1.75,0.386394262313843
0.125,1.75,1.75,0.168625116348267
0.125,1.875,1.75,0.0393075942993164
0.125,0,1.875,0.0852129459381104
0.125,0.125,1.875,0.109533071517944
0.125,0.25,1.875,0.0973010063171387
0.125,0.375,1.875,0.0993530750274658
0.125,0.5,1.875,0.0734820365905762
0.125,0.625,1.875,0.0864081382751465
0.125,0.75,1.875,0.0843157768249512
0.125,0.875,1.875,0.154865741729736
0.125,1,1.875,0.103764533996582
0.125,1.125,1.875,0.270646572113037
0.125,1.25,1.875,0.328280925750732
0.125,1.375,1.875,0.369820594787598
0.125,1.5,1.875,0.268246412277222
0.125,1.625,1.875,0.421219348907471
0.125,1.75,1.875,0.267651796340942
0.125,1.875,1.875,0.0626990795135498
0.0625,0,0,0.0765655040740967
0.0625,0.0625,0,0.06113600730896
0.0625,0.125,0,0.036109447479248
0.0625,0.1875,0,0.0605311393737793
0.0625,0.25,0,0.065345287322998
0.0625,0.3125,0,0.068312406539917
0.0625,0.375,0,0.0323455333709717
0.0625,0.4375,0,0.0506539344787598
0.0625,0.5,0,0.049628734588623
0.0625,0.5625,0,0.0596134662628174
0.0625,0.625,0,0.0837411880493164
0.0625,0.6875,0,0.129492044448853
0.0625,0.75,0,0.087104320526123
0.0625,0.8125,0,0.0797843933105469
0.0625,0.875,0,0.0687148571014404
0.0625,0.9375,0,0.0649967193603516
0.0625,1,0,0.0470099449157715
0.0625,1.0625,0,0.0406494140625
0.0625,1.125,0,0.0833654403686523
0.0625,1.1875,0,0.0738613605499268
0.0625,1.25,0,0.138274669647217
0.0625,1.3125,0,0.157167673110962
0.0625,1.375,0,0.170797824859619
0.0625,1.4375,0,0.177224636077881
0.0625,1.5,0,0.101140260696411
0.0625,1.5625,0,0.0901789665222168
0.0625,1.625,0,0.0618550777435303
0.0625,1.6875,0,0.0824904441833496
0.0625,1.75,0,0.066420316696167
0.0625,1.8125,0,0.0794692039489746
0.0625,1.875,0,0.101619958877563
0.0625,1.9375,0,0.0716221332550049
0.0625,0,0.0625,0.019495964050293
0.0625,0.0625,0.0625,0.04300856590271
0.0625,0.125,0.0625,0.0395522117614746
0.0625,0.1875,0.0625,0.0480732917785645
0.0625,0.25,0.0625,0.0200965404510498
0.0625,0.3125,0.0625,0.038992166519165
0.0625,0.375,0.0625,0.0707986354827881
